"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20"
"spot 37",0,0,0,0,0,0,4,1,0,0,2,0,4,2,2,0,2,0,10,0
"spot 38",4,3,1,0,0,2,0,0,0,0,0,0,8,6,6,3,0,4,0,0
"spot 39",4,0,1,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0,10,5
"spot 40",0,0,1,0,0,0,0,0,3,1,3,0,0,0,6,8,8,0,9,0
"spot 41",2,1,0,0,2,1,1,3,2,0,0,15,0,6,2,5,7,0,6,0
"spot 42",0,0,0,0,0,3,2,0,0,0,4,0,12,0,0,5,0,3,0,0
"spot 43",0,0,3,5,3,0,5,8,0,0,0,0,0,4,0,5,0,0,11,14
"spot 44",0,0,0,0,0,2,1,3,1,0,0,13,8,7,5,0,5,0,5,8
"spot 45",7,1,0,0,0,2,7,0,3,2,1,0,0,0,0,0,0,0,18,0
"spot 46",2,0,1,0,2,0,0,2,0,1,7,19,9,0,0,0,0,5,18,0
"spot 47",4,8,0,6,0,0,0,2,0,0,6,0,0,0,0,0,8,8,0,6
"spot 48",10,5,4,0,5,7,0,14,0,6,4,27,0,9,9,5,15,0,18,6
"spot 49",0,0,0,0,0,3,1,0,0,5,4,0,6,3,0,8,0,0,5,11
"spot 50",0,4,0,0,1,8,0,0,3,0,0,6,2,0,0,3,0,2,8,0
"spot 51",0,3,0,0,0,3,1,0,1,1,6,8,0,0,6,4,0,6,0,7
"spot 52",0,5,0,0,1,0,6,7,8,0,0,5,9,0,0,2,0,6,3,8
"spot 53",0,7,0,7,4,0,0,0,0,5,0,17,7,7,0,6,17,0,4,0
"spot 54",4,0,3,0,0,4,0,0,0,3,0,0,1,2,0,0,3,0,2,0
"spot 55",0,3,0,0,2,1,4,0,2,3,0,0,0,6,0,0,8,1,5,2
"spot 56",0,0,0,0,3,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0
"spot 57",5,1,2,16,17,4,5,0,12,0,0,0,18,6,0,0,0,2,5,0
"spot 58",0,8,3,10,0,3,0,0,5,6,3,14,4,4,4,0,1,0,12,0
"spot 59",5,0,2,13,0,0,0,6,0,4,0,0,0,0,0,0,5,0,9,0
"spot 60",0,0,3,0,6,0,0,4,0,0,0,0,9,0,2,0,5,5,0,0
"spot 61",5,1,2,3,4,8,0,0,0,4,5,0,0,0,8,0,0,1,0,9
"spot 62",8,0,0,15,2,0,0,0,6,4,0,2,0,7,2,1,0,4,6,3
"spot 63",0,11,0,14,8,5,9,0,0,8,5,14,7,0,0,1,6,0,0,4
"spot 64",13,7,0,7,0,0,0,4,4,0,0,6,6,0,6,0,6,10,8,5
"spot 65",2,0,0,2,0,1,2,0,0,0,5,0,0,9,13,0,0,2,0,4
"spot 66",2,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,2,5,4,0
"spot 67",1,2,1,0,1,0,0,2,1,0,5,0,12,0,0,4,7,10,6,0
"spot 68",0,1,0,0,0,0,0,0,1,0,0,6,0,0,3,0,3,3,6,1
"spot 69",0,0,1,0,1,0,0,0,4,0,12,13,10,0,8,7,6,0,0,4
"spot 70",0,1,0,2,0,0,0,0,0,1,2,6,6,2,0,0,0,0,0,0
"spot 71",5,0,3,0,2,0,2,5,0,0,0,19,8,0,0,0,6,3,0,3
"spot 72",3,1,1,2,0,0,0,6,2,2,0,14,7,4,0,2,0,2,0,0
"spot 73",2,4,0,0,3,1,0,2,0,0,0,17,3,4,0,0,3,0,10,12
"spot 74",3,1,2,0,0,0,1,4,0,0,4,15,0,16,0,0,0,6,16,0
"spot 75",0,0,1,4,0,0,0,3,1,2,0,0,5,6,0,5,6,0,0,8
"spot 76",7,2,0,0,0,0,0,1,1,0,7,11,0,7,0,0,0,0,0,2
"spot 77",2,5,2,0,0,5,4,2,0,0,0,8,0,10,6,1,9,0,6,0
"spot 78",0,0,4,0,7,0,5,8,0,7,0,0,0,0,0,8,8,8,0,4
"spot 79",0,2,2,0,2,0,4,0,2,0,0,0,0,9,6,0,0,0,5,0
"spot 80",0,0,4,3,0,0,0,5,0,0,7,8,4,2,3,0,4,0,8,0
"spot 81",4,0,4,0,0,4,0,2,4,2,8,0,12,10,0,0,11,0,6,9
"spot 82",2,3,0,0,6,0,0,0,0,0,3,0,5,10,7,2,7,0,0,0
"spot 83",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,6,6
"spot 84",0,5,1,0,0,0,0,4,0,0,1,0,0,2,3,2,3,0,0,3
"spot 85",0,5,2,0,0,0,0,7,1,0,0,15,9,0,5,1,0,0,0,0
"spot 86",4,5,0,0,0,0,3,0,0,9,0,0,4,0,0,0,10,6,0,5
"spot 87",5,8,4,0,9,8,0,9,0,0,6,0,0,10,0,0,4,0,9,0
"spot 88",6,7,0,0,5,0,0,7,0,0,0,20,0,6,0,0,0,0,0,0
"spot 89",11,0,4,0,7,0,7,4,7,4,0,0,0,0,0,0,0,2,5,0
"spot 90",0,7,0,12,0,7,0,10,4,0,3,20,0,6,3,2,0,8,8,0
"spot 91",0,11,2,0,0,12,0,14,3,2,2,27,0,0,6,6,0,0,0,0
"spot 92",0,0,2,5,0,6,4,0,0,0,2,0,4,2,2,3,0,0,6,3
"spot 93",6,9,0,0,0,6,5,6,0,3,0,11,0,6,0,0,0,0,0,0
"spot 94",4,0,4,7,0,0,5,10,8,10,5,11,2,6,8,2,0,9,8,9
"spot 95",0,0,6,0,3,0,5,0,5,9,0,0,3,6,0,0,6,0,0,2
"spot 96",0,0,9,13,7,6,0,11,3,8,0,10,0,0,0,5,7,4,0,0
"spot 97",0,5,0,0,3,0,1,0,0,0,0,0,0,0,10,5,8,0,0,6
"spot 98",0,4,0,0,0,0,3,0,1,0,1,19,5,6,0,5,7,3,0,0
"spot 99",5,2,0,0,0,0,2,0,3,0,0,17,0,0,0,4,12,6,0,9
"spot 100",0,3,0,0,0,0,2,0,0,0,0,10,3,0,0,0,8,1,0,5
"spot 101",0,0,2,0,0,0,4,0,5,0,0,0,4,11,15,3,0,6,10,6
"spot 102",0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,3,3,3,10,8
"spot 103",2,0,0,3,0,0,0,0,0,0,0,0,4,5,12,0,0,0,0,0
"spot 104",5,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,14
"spot 105",0,4,0,4,2,0,2,0,2,1,0,15,6,10,0,0,9,0,13,10
"spot 106",1,2,0,0,0,3,4,0,0,0,0,0,6,5,3,2,0,5,0,0
"spot 107",0,0,0,5,2,0,0,5,0,0,1,0,0,5,10,10,0,3,9,7
"spot 108",6,3,0,5,1,0,0,3,0,0,0,0,2,2,0,1,0,0,3,8
"spot 109",0,3,2,0,4,0,0,0,3,5,0,0,0,9,0,2,0,0,7,0
"spot 110",4,0,0,0,0,8,0,0,0,2,0,12,8,0,8,4,10,0,0,13
"spot 111",0,0,0,0,1,0,5,8,0,6,0,12,0,8,6,4,0,7,5,0
"spot 112",10,0,0,0,1,0,4,1,0,0,8,12,0,12,0,0,10,6,0,5
"spot 113",0,0,1,0,3,1,0,11,4,5,6,0,15,0,7,3,10,0,0,0
"spot 114",0,0,1,0,0,2,0,0,1,0,0,0,0,0,4,0,0,0,0,11
"spot 115",3,0,0,9,3,1,3,2,5,0,0,12,7,6,13,3,3,0,0,18
"spot 116",1,0,0,0,6,0,0,0,2,0,3,0,0,4,0,0,0,2,0,0
"spot 117",0,0,2,8,2,0,0,4,0,4,3,12,0,0,3,2,7,0,12,0
"spot 118",0,0,0,0,4,5,0,0,0,0,4,13,4,0,3,0,6,0,0,12
"spot 119",5,0,0,14,7,0,3,12,0,7,0,0,5,8,9,3,5,6,10,4
"spot 120",5,0,0,0,8,0,5,11,4,1,3,0,0,5,7,4,0,6,0,8
"spot 121",0,0,0,16,2,0,0,0,7,0,2,0,8,0,7,4,5,0,0,0
"spot 122",8,0,2,0,0,0,5,9,7,0,5,12,5,8,4,4,11,10,0,0
"spot 123",0,6,5,6,6,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0
"spot 124",0,6,0,0,1,4,0,18,0,10,3,0,10,0,6,0,0,0,14,0
"spot 125",9,0,2,0,0,6,0,9,0,6,0,0,5,8,7,1,0,5,0,0
"spot 126",9,5,1,8,0,0,0,0,8,7,5,0,10,0,0,0,6,0,7,0
"spot 127",4,0,0,0,0,9,0,0,0,4,0,0,0,10,5,3,0,7,0,0
"spot 128",0,2,5,0,0,7,0,0,9,6,0,0,0,6,13,0,0,0,5,0
"spot 129",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7
"spot 130",1,1,3,2,0,4,0,0,0,1,5,7,0,0,0,3,0,4,2,2
"spot 131",1,2,0,1,1,0,0,0,0,1,6,7,0,8,1,3,0,5,3,6
"spot 132",0,4,0,0,1,2,3,0,0,3,5,0,0,0,7,0,0,3,0,10
"spot 133",0,0,0,1,1,3,3,4,1,0,0,16,1,0,0,0,0,3,8,0
"spot 134",6,0,4,8,0,2,0,0,1,4,0,11,10,0,0,6,7,0,0,28
"spot 135",0,0,0,0,6,0,4,3,0,1,0,0,5,0,0,0,7,0,0,0
"spot 136",0,0,2,4,4,6,5,3,1,3,11,9,8,10,8,0,3,3,23,16
"spot 137",0,6,0,0,0,4,0,2,0,0,9,13,8,8,0,0,6,0,11,0
"spot 138",4,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,3,0,7
"spot 139",3,0,0,4,1,11,0,7,0,0,0,0,0,7,0,0,8,0,10,3
"spot 140",3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0
"spot 141",0,0,0,7,0,0,0,0,3,3,10,0,12,0,0,0,13,6,0,9
"spot 142",4,0,2,0,0,4,1,3,0,0,6,0,0,7,5,0,6,0,9,6
"spot 143",0,0,0,0,4,0,0,0,4,3,0,0,0,5,0,0,0,8,5,0
"spot 144",0,7,4,0,7,0,0,3,0,0,3,13,0,0,8,9,0,8,0,14
"spot 145",0,5,2,0,0,0,0,5,0,3,3,10,2,0,6,4,7,0,0,3
"spot 146",9,0,0,7,0,3,1,0,0,0,0,0,0,0,5,1,8,9,0,0
"spot 147",4,0,0,5,2,0,0,5,3,3,1,0,1,0,2,0,0,0,9,0
"spot 148",7,0,0,8,0,0,0,0,3,0,0,4,0,4,8,3,8,8,0,7
"spot 149",0,0,4,0,0,0,0,0,6,7,5,19,0,0,5,4,8,0,0,7
"spot 150",0,7,3,13,0,5,2,0,4,0,4,0,5,7,0,6,1,6,0,0
"spot 151",3,6,2,0,0,0,0,0,0,4,0,0,0,7,4,0,0,0,8,0
"spot 152",4,0,1,5,0,4,0,11,3,4,5,7,0,3,0,0,6,2,0,7
"spot 153",5,8,7,13,5,5,0,0,4,6,0,6,0,0,7,0,7,0,12,0
"spot 154",0,0,4,11,5,4,0,6,0,0,4,16,5,0,1,0,8,0,0,3
"spot 155",8,0,14,0,0,5,0,0,0,0,0,0,0,5,9,0,0,4,3,4
"spot 156",0,0,10,0,0,6,0,0,0,0,8,0,7,0,0,2,3,0,0,0
"spot 157",12,0,0,0,2,8,0,10,4,7,8,11,10,7,2,0,0,0,0,0
"spot 158",0,0,0,0,6,19,7,0,3,0,6,0,0,0,0,0,7,0,19,9
"spot 159",6,0,0,7,7,6,0,5,2,7,4,0,0,3,0,1,9,0,0,0
"spot 160",11,0,0,9,2,0,0,10,0,0,0,8,8,7,0,2,0,2,0,0
"spot 161",0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,8,3,6
"spot 162",0,0,0,0,0,0,1,0,0,0,4,6,3,0,0,5,0,0,16,5
"spot 163",0,0,0,4,0,3,1,5,0,2,3,0,0,10,8,4,6,6,0,0
"spot 164",1,0,1,0,0,0,0,3,2,1,0,6,6,0,0,2,6,1,0,4
"spot 165",1,2,0,0,0,0,0,3,0,0,4,15,5,4,0,0,0,0,4,0
"spot 166",0,1,1,0,0,0,0,7,2,0,0,0,0,18,6,0,0,4,0,12
"spot 167",0,1,2,1,0,3,1,0,0,0,0,17,6,0,4,0,2,0,14,0
"spot 168",2,2,0,1,1,1,0,1,0,1,0,0,2,3,0,0,0,0,0,3
"spot 169",1,5,0,0,0,1,0,0,1,0,0,9,5,0,0,0,0,5,4,0
"spot 170",0,0,0,0,0,4,0,0,0,0,2,0,10,16,5,3,0,0,0,0
"spot 171",1,2,0,0,3,3,0,0,0,0,3,0,0,0,3,0,0,0,11,7
"spot 172",0,0,0,0,0,3,0,0,0,10,0,0,5,9,11,5,6,2,0,0
"spot 173",0,0,0,5,3,0,5,0,3,3,7,0,0,0,6,0,4,3,8,0
"spot 174",3,1,0,0,7,1,3,0,0,0,2,0,0,4,0,0,0,0,0,0
"spot 175",0,0,0,5,0,0,1,0,0,4,8,0,0,5,0,0,0,2,6,0
"spot 176",0,0,0,5,12,6,0,5,0,6,3,20,0,0,4,0,4,5,0,11
"spot 177",0,0,3,4,0,0,0,5,3,0,0,14,0,7,7,0,7,0,13,0
"spot 178",0,4,4,0,2,4,1,6,0,0,0,0,0,5,0,3,2,4,11,0
"spot 179",0,9,3,3,4,0,2,6,0,0,0,0,0,6,6,0,0,3,0,0
"spot 180",6,0,2,9,3,0,0,0,3,0,0,14,3,0,8,0,0,8,0,16
"spot 181",0,8,0,0,0,3,4,7,0,0,3,0,4,0,0,0,8,2,0,5
"spot 182",0,0,0,0,5,0,4,10,0,0,2,0,9,6,7,0,0,3,0,0
"spot 183",0,0,3,0,2,4,0,18,0,2,1,9,6,0,0,6,5,9,0,0
"spot 184",4,0,2,0,0,5,0,17,0,0,0,0,0,4,0,4,0,0,4,0
"spot 185",4,0,2,7,5,9,0,1,0,0,1,12,7,7,0,0,0,0,11,4
"spot 186",4,10,0,8,6,0,0,0,0,0,4,9,0,0,8,0,2,8,0,0
"spot 187",14,8,7,0,6,0,0,0,5,5,4,0,0,0,7,4,0,8,0,0
"spot 188",15,0,0,7,0,4,0,8,5,0,0,0,0,7,0,0,12,2,0,5
"spot 189",6,0,0,0,7,0,7,0,0,0,2,0,0,0,5,5,4,0,10,3
"spot 190",0,0,0,22,4,6,17,11,4,0,0,8,6,0,4,0,6,0,2,8
"spot 191",8,0,0,10,7,4,15,12,2,7,0,12,0,6,3,1,0,9,0,0
"spot 192",10,14,0,0,2,13,0,11,9,7,4,0,0,0,5,6,0,0,7,0
"spot 193",0,3,0,0,0,0,3,0,0,1,3,0,0,0,0,0,5,4,0,0
"spot 194",0,5,2,0,0,0,4,0,2,0,5,0,0,13,7,0,12,11,0,16
"spot 195",0,0,0,7,0,4,0,2,0,0,0,17,0,9,0,9,0,8,0,0
"spot 196",0,0,0,2,0,0,1,0,0,0,0,7,0,2,0,0,0,7,3,0
"spot 197",0,3,0,3,0,2,2,5,0,0,8,10,5,8,0,7,2,0,9,0
"spot 198",6,0,0,7,0,0,8,2,0,0,0,0,0,0,0,0,0,11,0,0
"spot 199",4,0,0,0,0,2,2,0,0,4,5,0,0,0,0,0,0,9,0,0
"spot 200",7,10,2,0,0,2,0,0,2,0,8,20,0,0,0,6,13,8,8,3
"spot 201",0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,3,6,1,0,7
"spot 202",0,4,5,0,4,2,6,3,0,0,2,7,0,2,0,0,6,5,0,0
"spot 203",0,4,5,0,0,8,5,3,6,0,0,0,15,0,0,0,0,0,0,14
"spot 204",0,0,0,1,4,0,0,0,0,0,0,10,0,8,6,0,0,0,14,0
"spot 205",0,2,2,3,3,0,0,0,0,3,0,12,0,0,5,0,3,0,0,0
"spot 206",4,2,0,4,0,1,0,5,1,4,8,16,3,6,4,1,7,0,7,0
"spot 207",0,0,2,0,0,3,0,0,3,2,3,0,9,8,4,1,0,3,5,0
"spot 208",0,0,5,0,1,3,2,4,0,0,0,22,0,0,6,2,2,0,8,7
"spot 209",6,0,0,5,3,0,5,11,2,3,4,10,6,0,8,2,0,0,7,2
"spot 210",6,9,0,4,0,3,0,5,0,5,0,10,0,11,0,0,0,3,6,0
"spot 211",8,8,0,5,0,0,4,13,5,10,1,17,5,0,0,0,0,11,4,5
"spot 212",0,0,0,7,0,0,0,0,0,0,0,14,0,0,5,4,8,4,4,0
"spot 213",9,7,5,0,6,0,7,10,9,5,4,0,5,0,0,0,11,0,0,0
"spot 214",0,12,0,19,4,0,5,5,0,10,0,0,5,4,4,4,9,7,9,8
"spot 215",10,5,6,6,0,0,6,0,0,0,0,0,0,0,0,3,0,3,4,0
"spot 216",5,7,0,0,0,4,6,5,2,3,0,0,0,6,0,0,3,5,6,0
"spot 217",0,7,0,0,0,8,0,9,5,0,0,17,3,3,7,0,0,7,0,0
"spot 218",0,13,5,17,0,0,2,0,0,0,0,0,0,0,0,0,5,4,10,4
"spot 219",10,7,0,0,1,0,0,11,0,0,0,17,12,0,0,0,10,9,7,0
"spot 220",0,13,0,0,8,8,0,11,12,9,5,6,6,13,4,0,0,0,11,5
"spot 221",8,0,9,0,0,13,0,0,4,8,0,0,10,0,0,0,2,10,0,0
"spot 222",4,11,0,0,0,10,16,15,0,5,0,12,0,10,3,6,0,0,0,15
"spot 223",0,0,0,12,0,0,0,0,0,8,4,11,0,0,0,4,8,7,5,0
"spot 224",9,13,2,14,0,6,0,0,0,12,8,0,5,0,0,0,5,5,0,0
"spot 225",0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0
"spot 226",7,0,0,0,0,0,1,1,2,4,3,8,15,3,8,0,5,10,0,0
"spot 227",0,0,0,7,0,0,1,0,1,2,8,14,4,0,0,5,0,0,6,4
"spot 228",1,0,0,0,0,1,0,1,0,3,0,14,0,5,0,0,0,4,9,7
"spot 229",0,4,0,0,2,5,0,4,2,2,0,0,0,11,0,5,7,7,12,0
"spot 230",5,0,0,6,1,0,4,0,0,5,0,10,0,0,0,0,12,0,10,11
"spot 231",4,0,0,0,1,0,0,2,0,2,0,4,0,0,0,4,0,11,0,5
"spot 232",0,0,2,4,0,3,0,0,1,0,0,0,3,4,0,5,3,0,0,8
"spot 233",0,0,0,0,1,1,0,2,1,0,3,0,0,1,6,2,0,2,0,0
"spot 234",0,3,0,0,1,6,0,0,0,3,8,7,3,0,0,0,6,0,3,6
"spot 235",8,6,3,0,0,4,4,5,0,0,0,0,0,14,0,4,11,0,16,13
"spot 236",5,0,0,0,0,0,5,3,0,3,1,17,0,6,0,0,8,0,0,0
"spot 237",6,0,2,0,0,0,3,4,3,0,3,17,6,0,0,0,7,0,0,4
"spot 238",5,4,0,6,1,8,6,9,2,0,0,0,0,0,0,0,0,3,10,11
"spot 239",3,0,0,4,2,0,4,6,0,0,0,0,10,4,0,0,0,0,9,3
"spot 240",0,7,0,8,3,0,3,0,2,0,2,10,5,6,0,3,0,0,9,0
"spot 241",3,6,2,5,0,5,3,6,0,0,1,0,6,0,0,0,5,0,0,3
"spot 242",0,2,1,0,5,0,0,0,2,4,0,0,6,0,7,3,0,0,4,5
"spot 243",0,0,0,14,0,2,0,0,0,6,6,0,9,9,5,1,0,4,4,13
"spot 244",0,0,3,0,0,1,0,8,2,1,9,0,0,0,0,0,0,1,4,0
"spot 245",0,0,0,5,6,0,7,11,4,2,2,12,0,0,2,1,3,11,0,0
"spot 246",5,0,3,0,8,4,3,0,5,1,8,3,0,0,0,0,0,0,3,0
"spot 247",12,0,0,8,6,0,0,0,0,0,0,18,6,11,8,6,0,11,8,10
"spot 248",8,0,0,10,2,0,3,11,0,0,0,4,0,0,5,6,0,0,0,14
"spot 249",3,0,0,8,0,14,10,0,6,0,0,0,0,2,0,6,0,7,0,7
"spot 250",18,0,0,0,6,0,0,5,4,0,0,0,5,8,0,1,2,0,0,0
"spot 251",9,3,0,0,0,4,7,16,0,0,0,0,9,7,0,3,7,0,9,6
"spot 252",4,0,0,4,5,3,6,5,0,8,6,0,0,0,0,0,0,6,2,4
"spot 253",8,0,7,18,11,0,0,0,0,3,4,5,8,7,0,0,0,8,0,0
"spot 254",11,18,8,17,0,8,13,0,0,0,5,7,6,7,3,4,4,0,0,8
"spot 255",4,0,0,0,6,11,0,12,0,0,5,19,0,9,0,0,0,0,5,7
"spot 256",0,0,5,25,7,11,6,14,0,0,0,0,18,0,0,0,0,8,0,9
"spot 257",0,0,0,3,0,1,0,1,0,2,0,6,0,5,2,1,0,5,0,5
"spot 258",3,0,4,0,0,0,2,5,0,0,0,0,9,0,13,5,0,0,1,6
"spot 259",0,0,0,4,1,0,0,4,0,0,0,0,0,8,2,4,0,0,0,0
"spot 260",3,2,2,2,4,2,3,0,0,0,2,0,6,5,7,4,6,0,5,0
"spot 261",2,0,0,4,0,1,0,1,0,2,5,9,0,6,0,0,3,3,0,5
"spot 262",0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,7,9,0,0,0
"spot 263",0,4,4,12,0,0,0,0,5,1,14,8,0,0,6,0,5,15,4,0
"spot 264",4,0,2,4,0,0,3,13,0,2,0,15,0,2,6,0,0,0,0,0
"spot 265",0,0,0,11,0,8,2,0,0,5,0,10,9,7,0,0,11,0,0,0
"spot 266",2,4,0,0,0,0,4,0,0,2,0,0,0,5,0,0,8,0,0,0
"spot 267",2,0,3,0,3,0,0,5,0,1,0,8,9,6,0,5,0,0,0,2
"spot 268",2,5,0,0,4,4,3,0,0,0,4,0,0,6,0,8,0,12,7,0
"spot 269",7,0,0,0,5,5,9,7,1,4,9,20,0,0,0,0,0,0,0,0
"spot 270",10,7,0,6,10,3,0,0,0,0,7,7,0,8,0,1,0,0,0,0
"spot 271",0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,3,0,2,2
"spot 272",0,4,0,10,3,12,5,0,1,5,0,0,10,0,7,0,3,0,8,0
"spot 273",4,0,0,8,0,4,4,0,0,2,2,0,3,6,6,5,6,0,0,0
"spot 274",6,4,5,0,4,6,4,0,0,0,2,0,0,14,8,0,0,0,5,0
"spot 275",0,0,3,0,0,0,0,0,3,6,4,15,6,7,0,2,0,0,5,0
"spot 276",2,5,6,0,0,0,3,0,5,3,6,0,4,5,0,3,0,5,13,1
"spot 277",6,7,0,0,0,4,6,0,4,0,5,12,6,3,0,3,2,2,0,5
"spot 278",0,13,0,0,0,7,0,0,0,0,0,0,4,0,2,0,3,0,3,7
"spot 279",5,0,3,7,6,3,5,10,0,0,4,0,5,0,0,0,0,7,6,5
"spot 280",0,0,0,7,0,0,1,0,0,5,0,0,0,0,6,7,6,0,8,0
"spot 281",0,0,3,6,4,0,8,0,4,0,1,0,0,3,5,0,0,8,4,0
"spot 282",4,0,11,0,5,0,0,9,7,6,5,5,8,4,12,0,0,5,0,0
"spot 283",6,0,0,0,4,0,0,0,3,0,6,0,4,0,0,0,6,0,4,0
"spot 284",7,9,2,0,9,0,0,0,12,8,2,0,4,8,0,0,7,0,10,6
"spot 285",0,13,6,0,3,7,11,0,6,0,0,0,8,0,0,4,7,5,4,0
"spot 286",8,14,1,0,0,0,7,0,5,0,0,0,0,6,5,0,0,4,7,0
"spot 287",10,0,4,16,0,12,0,0,0,0,0,16,5,0,0,0,10,5,2,9
"spot 288",12,0,5,0,0,0,0,0,4,9,0,0,5,2,0,0,9,0,6,7
"spot 289",0,1,0,5,0,1,1,2,0,0,3,0,6,0,0,0,0,0,10,0
"spot 290",5,0,0,0,3,0,2,0,4,4,8,20,0,0,10,4,0,0,4,0
"spot 291",6,5,2,0,5,0,1,8,0,2,0,0,0,9,4,0,9,0,0,0
"spot 292",0,3,1,0,3,0,0,4,1,0,6,3,1,1,0,0,7,0,0,5
"spot 293",0,4,0,0,3,0,4,3,0,0,0,0,10,0,6,0,0,0,3,0
"spot 294",6,4,0,2,3,0,0,1,5,0,3,0,5,5,3,4,0,0,7,8
"spot 295",0,4,4,6,0,4,0,10,0,0,6,0,8,4,0,11,6,0,10,0
"spot 296",2,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
"spot 297",5,4,3,9,2,2,3,0,0,0,1,8,0,9,5,0,0,4,0,7
"spot 298",0,0,0,0,0,0,0,5,0,1,0,0,0,0,11,0,0,4,0,0
"spot 299",0,4,0,3,0,0,2,4,3,0,7,5,9,7,0,3,8,0,6,0
