"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20"
"spot 45",0,0,2,0,0,0,1,0,0,0,3,12,0,0,8,0,0,2,0,8
"spot 46",0,0,2,1,0,4,1,1,0,0,7,5,0,1,0,3,0,0,7,0
"spot 47",0,0,1,3,0,4,0,0,0,0,5,2,0,0,0,7,4,3,0,5
"spot 48",0,0,6,1,0,0,1,0,0,0,3,0,0,0,2,5,0,0,0,0
"spot 49",3,0,2,0,2,0,0,2,0,0,11,0,1,0,4,0,7,0,0,3
"spot 50",0,0,2,0,0,4,0,0,2,1,0,8,8,5,4,0,0,0,0,3
"spot 51",0,0,1,3,0,0,0,0,0,1,0,0,0,6,2,6,0,0,3,0
"spot 52",2,0,6,3,0,4,2,0,0,0,0,0,1,2,0,6,4,0,0,0
"spot 53",1,1,0,0,0,0,5,0,0,0,0,7,0,0,3,11,0,2,0,1
"spot 54",0,0,4,0,0,0,2,2,0,5,9,18,12,6,4,0,0,2,12,7
"spot 55",2,3,9,0,0,0,0,2,0,0,0,0,0,7,2,19,0,1,2,5
"spot 56",0,2,5,0,5,0,0,0,0,0,0,0,0,0,1,12,0,0,8,0
"spot 57",0,0,5,2,0,18,0,1,2,5,0,0,0,0,2,0,0,0,3,2
"spot 58",0,2,0,2,8,0,0,2,1,0,19,9,0,0,0,0,0,0,16,4
"spot 59",3,3,0,5,5,7,0,0,5,5,0,0,8,3,0,0,0,0,12,0
"spot 60",0,0,0,4,0,0,0,3,0,0,0,3,9,0,7,0,0,0,8,3
"spot 61",4,0,9,5,7,0,6,0,0,1,9,6,8,2,4,0,2,0,5,0
"spot 62",0,0,12,10,4,8,6,4,4,0,11,0,9,5,0,0,8,3,10,8
"spot 63",3,0,0,0,0,19,5,1,4,4,0,0,10,3,7,10,0,0,4,0
"spot 64",0,0,12,0,0,22,0,6,0,7,0,0,5,8,7,14,11,0,17,3
"spot 65",0,0,1,0,0,0,2,0,0,0,0,0,0,8,0,8,0,1,0,0
"spot 66",0,0,2,0,0,0,1,0,0,0,0,0,4,4,1,17,11,2,0,3
"spot 67",2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,0,1,0,0
"spot 68",0,1,1,0,0,1,0,0,1,0,0,4,0,0,0,9,2,0,0,7
"spot 69",0,0,0,0,1,0,1,0,0,0,4,0,4,4,0,0,4,1,0,0
"spot 70",0,0,0,0,2,1,1,0,0,0,11,4,5,0,0,8,0,0,7,6
"spot 71",0,0,0,3,0,0,0,0,0,1,16,0,11,0,2,0,6,2,9,0
"spot 72",0,1,0,3,3,3,2,2,3,0,14,0,6,8,0,21,11,0,0,0
"spot 73",0,0,0,0,3,0,0,1,0,0,0,0,9,0,0,0,5,4,12,0
"spot 74",0,1,0,0,0,0,0,3,0,0,5,0,3,5,2,0,0,0,0,0
"spot 75",1,3,3,0,1,0,0,1,0,0,9,8,0,0,3,15,0,0,10,0
"spot 76",0,0,0,0,1,0,3,0,0,2,0,8,5,5,7,16,6,0,4,0
"spot 77",0,0,4,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,5
"spot 78",0,0,0,2,1,0,0,2,0,0,6,4,1,0,0,0,0,0,4,3
"spot 79",2,2,0,0,0,4,0,0,0,0,9,0,5,0,3,0,3,0,8,0
"spot 80",1,0,0,0,2,1,0,0,1,0,0,0,2,5,4,0,0,0,0,2
"spot 81",0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,9,0,1,9,2
"spot 82",2,0,4,0,1,0,2,0,1,2,0,8,11,8,0,0,0,0,14,0
"spot 83",3,4,0,0,0,9,2,3,1,0,13,0,0,0,0,12,0,0,6,0
"spot 84",0,1,2,5,0,9,0,0,1,0,0,0,8,0,7,16,8,0,0,0
"spot 85",2,0,7,0,2,7,3,0,1,6,0,0,6,0,3,0,0,3,15,3
"spot 86",0,0,0,0,0,0,0,0,0,2,0,3,7,0,1,0,0,1,0,0
"spot 87",4,7,10,5,2,9,0,0,0,0,14,0,6,13,1,0,0,1,12,0
"spot 88",2,6,8,0,0,0,2,0,1,9,12,0,14,4,0,0,0,3,8,0
"spot 89",1,0,12,0,0,16,0,2,0,0,14,5,5,0,0,10,10,2,9,0
"spot 90",6,0,13,0,0,0,0,1,2,4,16,11,8,0,6,18,0,0,0,5
"spot 91",3,0,0,2,0,10,3,2,0,3,0,5,0,0,5,9,0,0,4,0
"spot 92",0,0,5,8,0,0,5,0,3,0,10,7,7,0,2,0,4,1,7,5
"spot 93",0,1,0,7,2,0,0,0,6,2,0,0,0,12,2,11,0,0,13,0
"spot 94",0,0,0,10,4,0,9,1,5,3,0,0,0,4,0,0,0,0,0,0
"spot 95",0,14,0,12,18,24,0,4,7,6,0,7,0,0,0,19,13,4,10,0
"spot 96",4,6,11,0,0,0,0,0,0,0,0,4,0,0,2,0,8,0,8,3
"spot 97",0,0,3,0,0,0,0,0,0,0,15,9,4,4,0,12,0,1,0,2
"spot 98",0,0,0,0,0,0,1,1,0,0,0,10,0,0,0,0,0,0,7,0
"spot 99",0,0,0,1,2,0,1,0,0,0,0,5,0,0,5,0,3,0,0,3
"spot 100",0,0,2,0,0,0,0,0,0,1,6,0,0,0,2,0,0,3,0,3
"spot 101",3,0,0,0,0,1,0,0,0,2,0,6,7,6,0,19,4,1,6,5
"spot 102",0,0,3,0,0,0,0,0,0,0,0,5,4,3,0,0,6,1,9,0
"spot 103",0,0,0,0,0,2,0,0,0,0,11,0,8,4,5,0,10,0,2,4
"spot 104",2,0,0,1,0,0,2,0,0,1,0,0,0,8,8,0,16,2,0,3
"spot 105",0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,3,0,3
"spot 106",1,0,3,0,0,1,0,1,0,1,9,0,0,0,0,12,0,0,3,4
"spot 107",0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,5,0,0,5
"spot 108",0,0,3,0,0,0,0,0,0,0,0,0,5,4,0,7,0,0,0,4
"spot 109",0,0,0,0,0,3,0,0,0,0,8,7,0,9,0,0,0,2,7,0
"spot 110",3,3,0,2,0,3,0,0,3,1,9,3,6,0,4,6,9,0,8,5
"spot 111",0,1,3,0,4,0,6,1,2,3,0,0,9,11,0,0,11,2,25,0
"spot 112",1,1,0,3,2,0,0,2,0,0,3,0,14,0,6,0,0,0,1,0
"spot 113",2,0,3,0,1,0,0,1,0,0,0,3,0,0,7,0,0,0,10,2
"spot 114",0,0,5,1,0,6,2,0,0,0,10,0,5,0,6,6,0,5,9,0
"spot 115",1,2,6,0,3,0,3,0,0,4,0,6,5,0,6,0,0,0,5,0
"spot 116",1,3,0,1,4,4,0,1,1,2,0,9,7,5,0,21,0,0,8,3
"spot 117",1,0,0,3,5,10,0,0,2,0,0,0,6,8,2,26,0,0,0,4
"spot 118",7,0,0,4,6,14,7,0,1,0,18,0,0,7,3,0,0,0,0,5
"spot 119",0,0,0,3,3,11,0,3,0,1,0,5,0,5,3,13,7,1,9,0
"spot 120",1,0,0,0,4,14,0,0,0,5,13,0,4,0,6,15,0,0,0,7
"spot 121",4,5,6,3,0,9,5,0,0,0,0,0,9,2,0,11,0,4,0,0
"spot 122",0,2,0,10,3,0,0,3,5,2,12,2,2,1,0,9,0,2,0,0
"spot 123",2,7,16,3,0,12,0,0,4,0,0,4,4,0,3,5,0,0,9,3
"spot 124",7,4,10,4,6,17,0,2,0,0,0,2,0,6,0,14,0,0,5,0
"spot 125",0,13,0,7,9,0,0,1,3,6,7,0,0,0,3,20,8,3,0,0
"spot 126",1,5,0,0,1,0,0,3,0,0,0,0,0,7,0,9,0,0,0,7
"spot 127",0,0,0,4,7,0,9,3,7,7,14,0,0,12,6,0,0,0,0,0
"spot 128",0,2,16,2,0,0,10,4,8,5,8,0,4,3,0,13,0,0,6,5
"spot 129",0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,5,3,0,0,0
"spot 130",1,0,0,0,2,2,2,0,0,0,0,4,0,5,0,0,0,3,0,2
"spot 131",0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,4,5,0,0
"spot 132",0,0,1,0,0,0,1,2,0,1,17,1,9,0,5,0,18,3,0,3
"spot 133",0,0,3,0,0,0,1,0,0,0,7,7,10,10,0,0,8,0,0,0
"spot 134",0,0,0,0,0,0,0,0,0,0,7,5,0,13,0,0,7,0,16,6
"spot 135",0,1,3,0,0,0,1,0,0,0,3,2,7,0,0,11,6,3,6,3
"spot 136",0,0,0,0,2,0,0,2,1,0,15,3,0,0,0,0,5,0,0,0
"spot 137",0,0,2,1,0,0,0,0,0,0,0,4,1,5,0,0,6,0,0,2
"spot 138",0,1,0,0,0,0,2,0,0,1,0,0,2,0,9,0,0,0,0,0
"spot 139",0,0,2,0,0,0,4,1,0,0,0,0,5,0,7,18,7,0,0,0
"spot 140",0,2,3,0,0,0,3,2,0,0,4,0,0,0,0,17,0,1,0,0
"spot 141",0,2,4,4,0,6,1,0,0,2,0,2,7,3,7,0,6,0,7,5
"spot 142",0,1,3,4,0,2,0,2,0,0,6,0,0,10,0,0,6,1,0,0
"spot 143",0,4,0,0,0,4,1,0,0,0,0,5,0,0,4,0,0,0,0,5
"spot 144",0,2,0,0,1,6,0,0,0,2,0,0,0,7,0,6,5,0,0,6
"spot 145",2,2,7,7,3,3,0,2,0,0,8,0,10,0,0,0,7,0,0,3
"spot 146",0,3,1,4,1,6,0,0,0,2,0,7,0,0,0,8,4,1,0,0
"spot 147",1,0,0,0,0,0,0,0,2,0,5,3,8,0,3,0,0,1,10,0
"spot 148",0,0,0,3,0,11,5,1,2,1,0,0,0,0,0,0,10,0,9,0
"spot 149",2,4,0,2,3,6,4,0,0,0,0,0,6,0,0,0,0,4,0,6
"spot 150",0,0,9,4,5,4,2,1,0,2,11,0,3,9,4,14,4,1,5,4
"spot 151",0,0,8,5,5,3,0,0,0,5,6,0,3,6,0,0,5,4,0,6
"spot 152",0,0,5,2,0,0,0,0,6,0,9,8,0,0,4,18,4,6,7,5
"spot 153",0,0,8,0,5,0,0,0,0,0,0,0,0,3,4,0,15,0,8,6
"spot 154",3,0,0,0,9,23,0,3,4,4,15,0,8,0,1,17,5,0,0,0
"spot 155",3,4,0,5,8,11,0,0,0,0,6,0,4,3,0,0,7,0,0,0
"spot 156",0,3,0,0,0,0,2,2,1,1,18,4,1,0,3,0,3,0,8,0
"spot 157",3,0,11,0,0,20,0,1,0,3,12,7,0,4,0,0,1,2,0,0
"spot 158",0,0,18,8,8,0,0,4,11,5,14,4,0,0,0,0,5,0,0,0
"spot 159",0,5,8,8,0,13,0,3,5,7,0,0,6,5,2,0,0,0,0,7
"spot 160",0,7,0,0,11,9,0,2,0,0,14,9,0,2,2,0,0,0,5,2
"spot 161",0,0,0,0,0,0,0,1,0,0,11,0,5,5,0,8,7,1,0,0
"spot 162",0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,20,5
"spot 163",2,0,0,1,3,7,1,0,0,0,0,0,0,0,0,12,9,0,13,0
"spot 164",0,0,0,3,4,0,0,0,0,0,0,7,5,0,5,19,0,4,0,0
"spot 165",0,1,5,0,0,0,0,0,0,0,0,7,0,0,6,9,0,1,0,2
"spot 166",0,0,1,0,0,3,0,0,0,1,0,5,9,0,0,17,0,0,0,4
"spot 167",0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,6,0,0,0,2
"spot 168",0,0,2,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0
"spot 169",0,0,0,0,2,3,1,1,0,0,0,5,0,2,0,14,0,0,0,0
"spot 170",0,0,0,2,2,0,1,1,2,0,16,0,6,4,4,10,0,0,7,0
"spot 171",1,1,0,4,2,1,0,1,0,1,12,6,4,9,6,14,8,0,0,6
"spot 172",0,0,0,0,0,2,0,0,0,0,0,2,3,3,0,0,6,0,5,3
"spot 173",0,0,0,2,0,1,0,1,1,0,0,0,0,3,5,2,0,0,0,5
"spot 174",0,2,5,0,2,0,4,3,0,2,7,11,8,0,0,0,0,0,6,5
"spot 175",2,0,0,2,0,4,3,0,0,2,1,0,0,0,2,10,3,2,0,0
"spot 176",0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,4,0,0,5
"spot 177",4,3,4,8,0,0,0,0,2,1,0,10,0,0,4,12,13,0,10,3
"spot 178",0,3,0,0,2,5,0,0,2,0,0,0,3,0,0,0,5,0,0,0
"spot 179",0,3,0,4,0,0,6,0,4,0,7,0,0,4,0,0,6,3,0,4
"spot 180",2,0,15,5,0,13,2,0,3,2,0,7,9,8,0,15,0,0,0,9
"spot 181",4,0,0,2,0,6,0,0,0,0,0,6,3,0,0,0,0,0,0,0
"spot 182",1,3,0,7,0,11,0,0,3,0,0,3,0,0,2,22,0,3,5,0
"spot 183",0,0,0,7,0,5,6,3,0,0,10,0,5,7,0,21,7,1,2,0
"spot 184",2,0,13,3,10,0,7,2,0,1,0,10,7,0,0,0,9,0,14,0
"spot 185",0,4,0,3,1,0,0,2,0,5,0,4,0,4,0,7,2,3,0,0
"spot 186",0,6,0,0,0,0,0,0,5,0,0,6,0,7,0,0,0,1,7,6
"spot 187",6,0,0,4,9,0,10,4,0,0,0,0,6,0,0,0,14,0,0,3
"spot 188",6,0,0,8,0,12,0,7,0,4,4,3,9,0,3,0,11,2,6,6
"spot 189",0,5,0,0,0,0,0,4,2,0,0,3,9,0,0,0,7,0,0,0
"spot 190",9,2,16,0,8,24,0,6,7,7,5,8,0,6,0,0,0,8,8,15
"spot 191",0,0,12,0,0,12,6,0,0,8,0,0,6,0,2,7,0,0,0,0
"spot 192",0,7,24,11,0,0,14,0,0,6,0,10,0,0,0,9,9,0,16,3
"spot 193",0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,5,0,5,2
"spot 194",1,1,0,0,0,1,2,2,0,0,0,0,0,3,0,11,0,1,7,0
"spot 195",0,0,0,0,1,0,0,0,0,0,10,5,0,6,2,0,3,0,0,2
"spot 196",0,0,0,0,2,1,2,0,0,0,0,4,0,0,4,14,0,7,0,7
"spot 197",0,2,2,0,0,3,1,0,0,0,21,0,0,8,0,7,0,2,9,0
"spot 198",1,0,3,0,0,0,0,0,0,0,0,7,6,0,7,10,0,4,1,1
"spot 199",0,0,1,0,0,0,0,0,0,0,13,0,0,3,0,6,0,5,6,0
"spot 200",0,0,0,0,0,0,0,0,0,2,10,0,11,0,0,0,8,1,10,6
"spot 201",0,0,0,0,0,0,2,1,0,0,8,6,3,0,0,0,9,0,0,0
"spot 202",5,0,0,4,0,6,2,0,3,0,16,0,11,8,5,14,9,0,0,0
"spot 203",0,1,3,1,0,0,1,0,2,2,0,0,0,3,0,0,0,0,0,2
"spot 204",0,0,0,0,0,2,3,2,3,1,6,0,1,8,0,0,0,4,0,0
"spot 205",0,0,5,0,0,5,0,0,0,2,11,0,6,0,6,0,0,0,0,1
"spot 206",0,0,0,0,2,4,0,0,0,1,9,1,7,0,5,13,13,2,3,5
"spot 207",3,0,4,2,3,0,0,0,2,0,0,0,5,0,0,0,7,3,0,1
"spot 208",0,1,6,4,0,3,0,1,0,1,0,0,0,0,4,5,5,0,2,0
"spot 209",0,0,3,0,3,0,0,0,0,1,8,1,2,7,0,0,9,1,7,4
"spot 210",3,1,5,3,2,7,4,1,0,1,0,6,9,0,0,8,0,0,5,1
"spot 211",0,0,9,3,0,0,0,0,0,1,7,4,0,0,3,0,8,3,0,7
"spot 212",0,1,8,2,0,7,5,2,1,0,6,3,6,0,3,8,1,0,0,1
"spot 213",2,9,5,1,0,0,0,3,3,4,0,4,5,0,0,0,0,0,0,2
"spot 214",0,0,8,3,0,0,0,4,0,0,19,0,15,0,5,16,12,3,0,4
"spot 215",6,3,15,0,10,27,4,0,0,8,14,4,9,4,3,0,0,3,12,0
"spot 216",0,0,0,0,3,13,11,1,2,0,0,0,7,7,4,9,6,0,8,0
"spot 217",7,0,0,5,0,11,0,6,4,3,8,12,0,0,1,0,0,0,0,6
"spot 218",4,7,0,0,0,0,13,3,1,0,0,0,0,0,4,8,0,2,0,0
"spot 219",0,6,10,6,7,7,3,0,0,0,0,7,0,6,0,6,0,3,6,6
"spot 220",9,0,12,0,0,0,11,0,3,0,11,0,0,8,0,0,0,1,0,3
"spot 221",8,9,20,0,0,0,0,3,9,0,9,5,0,7,1,13,0,0,10,0
"spot 222",8,10,24,0,0,0,21,5,0,6,0,10,0,0,6,0,0,0,6,9
"spot 223",0,10,0,0,0,0,20,0,0,0,0,5,9,0,0,15,4,0,10,9
"spot 224",6,5,0,0,8,19,11,3,0,0,0,5,0,0,0,14,17,8,0,0
"spot 225",0,2,0,0,0,0,0,2,0,1,0,0,0,8,8,30,0,0,10,10
"spot 226",0,0,1,1,2,1,0,0,0,0,6,4,7,0,0,9,0,0,0,0
"spot 227",0,1,2,2,0,0,0,1,0,0,12,13,0,0,5,7,6,0,9,0
"spot 228",0,0,0,1,0,0,0,0,0,1,10,0,0,4,5,2,4,2,5,0
"spot 229",0,0,0,0,4,0,0,0,0,1,8,0,0,2,2,0,4,3,0,3
"spot 230",0,0,0,0,1,0,1,1,0,0,16,8,8,0,0,17,0,0,0,6
"spot 231",0,2,1,0,0,0,0,0,1,2,9,7,12,0,0,11,6,1,0,5
"spot 232",0,1,2,1,0,3,3,0,1,2,12,0,0,9,0,0,0,0,0,2
"spot 233",1,3,0,0,3,0,3,0,1,1,0,3,5,0,2,0,0,0,6,0
"spot 234",0,0,0,0,2,0,0,1,0,0,6,0,0,8,1,0,4,0,0,3
"spot 235",0,0,2,3,3,1,0,0,1,0,16,18,0,7,0,0,8,5,10,1
"spot 236",0,0,0,0,0,0,0,3,1,0,6,6,2,4,0,2,2,1,0,2
"spot 237",0,0,0,1,0,0,1,0,0,0,6,6,5,2,0,7,4,2,0,1
"spot 238",1,0,3,0,3,2,4,0,0,0,0,0,0,0,0,0,12,1,4,0
"spot 239",3,0,0,1,0,0,4,5,4,0,0,0,0,0,3,0,10,4,0,8
"spot 240",1,0,5,1,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5
"spot 241",0,1,0,1,0,5,2,0,0,0,0,6,0,9,0,13,5,4,4,0
"spot 242",0,0,0,2,3,10,0,0,1,0,0,4,0,0,0,0,7,0,8,2
"spot 243",0,0,0,6,3,0,0,0,2,0,0,0,0,4,7,12,0,1,0,4
"spot 244",4,9,0,0,2,7,0,1,1,0,0,0,5,4,8,0,10,0,0,6
"spot 245",2,0,5,0,0,15,0,0,2,5,0,8,7,9,0,0,0,1,0,0
"spot 246",0,3,0,0,0,0,7,0,2,0,9,0,0,8,0,0,7,3,15,0
"spot 247",5,0,0,3,0,11,0,0,0,0,12,3,4,0,0,10,0,3,11,0
"spot 248",0,0,0,11,9,0,0,4,0,4,14,0,8,6,0,18,0,5,0,0
"spot 249",14,0,16,1,0,0,0,0,5,0,0,3,8,0,3,0,0,0,11,0
"spot 250",0,1,12,5,10,0,4,2,0,3,14,0,0,6,2,7,7,1,7,3
"spot 251",0,0,10,2,0,9,10,3,0,0,15,0,2,0,0,15,0,0,2,3
"spot 252",5,6,19,0,12,0,16,6,0,0,16,0,0,3,6,0,0,4,8,0
"spot 253",6,5,0,0,0,0,0,1,5,0,8,4,8,0,3,7,4,0,4,0
"spot 254",6,2,14,0,9,18,11,3,0,0,12,0,0,5,3,7,0,2,0,0
"spot 255",14,0,32,10,8,0,0,7,6,0,0,13,3,0,0,18,0,4,0,0
"spot 256",4,11,18,0,10,37,0,0,9,15,8,8,0,6,8,0,0,0,6,0
"spot 257",0,1,1,0,1,0,1,0,0,0,7,4,0,0,0,0,7,2,0,7
"spot 258",0,0,1,0,1,0,0,0,0,0,11,0,0,1,0,8,4,0,4,3
"spot 259",0,0,0,0,2,0,0,0,1,0,13,0,0,0,0,7,0,0,0,1
"spot 260",0,0,0,0,2,3,0,2,0,2,0,0,0,0,4,0,0,3,0,0
"spot 261",0,2,4,0,0,2,0,0,1,2,16,8,0,0,0,0,5,0,10,0
"spot 262",0,0,6,1,1,0,2,0,1,1,0,0,0,9,0,0,0,0,7,0
"spot 263",0,0,0,0,1,0,0,0,0,0,0,0,3,8,5,0,0,6,18,3
"spot 264",0,1,2,0,0,0,0,1,0,0,8,5,0,0,0,16,5,4,4,0
"spot 265",0,2,1,0,1,0,0,0,0,1,2,4,5,0,0,0,2,0,1,0
"spot 266",1,0,7,0,0,0,0,0,0,0,14,0,5,8,0,0,9,0,2,0
"spot 267",0,0,0,1,1,0,0,2,0,2,0,2,4,0,0,12,0,1,0,0
"spot 268",3,1,7,0,1,0,0,0,0,0,9,0,7,6,2,10,3,1,8,0
"spot 269",0,0,0,1,0,5,0,0,0,0,0,9,0,0,0,0,5,1,0,0
"spot 270",2,4,2,0,0,7,0,4,1,0,22,6,0,0,4,12,6,1,0,0
"spot 271",2,0,2,0,1,3,2,2,2,0,4,5,0,4,0,0,9,0,0,0
"spot 272",0,1,5,0,0,0,8,1,0,1,0,4,7,7,0,19,0,2,0,5
"spot 273",0,0,0,4,0,0,0,2,0,2,0,0,7,2,7,15,4,0,0,7
"spot 274",0,1,0,3,2,7,3,0,0,0,7,3,0,2,6,11,8,0,0,0
"spot 275",0,0,8,0,0,0,0,0,1,5,8,0,0,1,1,0,0,0,6,5
"spot 276",4,0,6,2,0,0,0,0,0,0,0,6,0,0,6,11,0,0,0,0
"spot 277",0,0,6,0,0,0,0,0,1,0,7,8,0,0,0,0,0,0,7,4
"spot 278",3,5,0,0,6,13,0,0,0,0,7,7,0,0,7,0,5,5,7,5
"spot 279",2,0,8,0,2,0,0,2,3,0,0,4,5,0,3,0,0,0,0,0
"spot 280",0,0,0,0,11,0,5,0,0,0,12,8,4,0,0,18,10,2,0,2
"spot 281",3,12,15,0,16,16,8,0,0,0,12,0,7,0,0,14,0,2,0,0
"spot 282",0,0,3,0,0,20,0,9,0,8,0,3,0,0,4,11,3,1,0,9
"spot 283",5,2,19,7,0,11,11,0,10,0,13,0,0,7,0,0,10,0,8,0
"spot 284",8,9,0,0,0,12,10,1,0,0,0,0,8,0,7,14,8,0,0,6
"spot 285",0,4,34,16,12,40,0,0,0,9,0,16,0,7,4,0,12,2,4,3
"spot 286",10,19,0,0,0,0,0,0,9,0,13,0,0,10,5,12,0,3,16,0
"spot 287",9,12,0,0,13,0,0,4,0,0,0,0,6,0,0,0,0,1,9,1
"spot 288",0,0,0,9,5,0,8,4,5,6,8,0,11,0,1,0,7,1,0,0
"spot 289",0,1,1,0,0,1,0,1,0,1,0,0,6,2,7,0,7,1,0,6
"spot 290",0,0,1,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0
"spot 291",0,0,0,0,0,3,0,0,2,0,0,0,0,0,3,14,7,0,5,5
"spot 292",0,2,1,3,1,0,0,0,1,0,4,0,6,7,0,0,0,0,3,2
"spot 293",0,2,2,0,0,0,0,0,2,0,0,0,9,0,7,17,0,1,3,6
"spot 294",3,0,4,1,0,0,0,0,1,0,0,15,0,0,0,22,4,0,4,6
"spot 295",0,0,1,0,1,4,1,0,0,1,0,4,0,0,2,18,2,0,0,3
"spot 296",0,1,4,0,0,0,1,0,0,0,0,3,10,6,2,0,13,0,8,0
"spot 297",0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,6,5,0,3,1
"spot 298",0,2,3,2,3,3,2,1,0,0,0,0,0,0,0,9,0,0,8,0
"spot 299",3,3,5,2,4,0,1,0,0,0,14,9,9,6,3,11,4,1,5,0
