"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20"
"spot 52",0,0,5,1,3,0,0,0,4,4,3,0,0,0,0,0,12,10,1,10
"spot 53",0,1,0,3,0,0,2,1,4,5,0,4,0,7,5,0,0,0,2,0
"spot 54",5,1,0,0,2,0,0,0,2,0,0,2,2,0,1,0,0,0,1,0
"spot 55",4,0,9,1,5,1,2,2,0,0,0,0,4,0,0,6,11,11,5,0
"spot 56",0,0,0,1,5,1,0,0,0,1,1,7,4,0,2,0,8,10,1,8
"spot 57",0,3,0,5,4,0,5,0,2,4,5,0,0,0,0,14,17,12,1,20
"spot 58",0,0,6,4,7,1,0,0,2,0,0,0,0,0,0,8,25,0,0,0
"spot 59",7,1,0,2,7,0,0,0,0,0,0,0,10,1,7,0,13,0,3,0
"spot 60",0,0,0,0,0,0,0,0,4,6,1,4,0,2,0,0,16,9,0,13
"spot 61",8,0,22,0,0,0,4,0,0,4,0,2,11,0,0,4,19,14,1,0
"spot 62",4,2,4,2,0,0,2,2,0,5,4,7,0,0,4,8,11,0,0,0
"spot 63",12,3,0,7,0,0,0,5,0,0,0,0,0,0,0,0,14,0,3,0
"spot 64",9,0,0,0,0,1,4,0,3,4,3,0,4,7,0,7,0,0,0,10
"spot 65",1,0,0,2,0,0,0,0,0,0,0,4,2,7,4,3,2,0,0,3
"spot 66",2,0,0,1,0,0,1,0,0,0,0,0,11,0,4,0,0,12,4,12
"spot 67",1,4,0,2,0,0,2,1,0,0,15,0,0,9,0,0,12,9,0,17
"spot 68",0,0,0,0,4,0,1,0,0,0,8,12,11,8,0,10,30,15,5,24
"spot 69",0,0,3,0,0,1,0,0,0,0,0,0,5,9,1,5,0,0,0,0
"spot 70",0,0,1,0,0,0,1,0,0,0,2,6,1,0,0,6,0,0,0,0
"spot 71",0,0,7,0,0,1,2,2,0,1,0,0,0,13,3,11,12,0,0,0
"spot 72",4,2,0,0,0,0,3,3,0,0,6,0,0,0,3,7,9,0,6,0
"spot 73",6,4,0,0,4,0,1,5,0,0,0,0,3,0,0,0,23,23,4,0
"spot 74",0,0,3,1,0,0,2,4,2,1,4,4,0,0,0,0,0,0,0,10
"spot 75",0,4,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,5,4,0
"spot 76",12,11,0,0,7,0,10,0,10,0,0,15,0,0,10,29,0,0,6,0
"spot 77",0,0,5,0,0,1,0,0,0,0,5,5,11,9,0,0,0,10,0,6
"spot 78",0,0,0,0,1,0,0,0,2,0,0,6,0,0,0,0,4,0,0,9
"spot 79",2,0,2,0,0,0,0,0,0,0,0,6,3,2,1,0,6,4,0,3
"spot 80",1,5,0,0,0,1,0,6,5,0,7,0,0,16,0,6,23,0,3,0
"spot 81",1,1,1,0,0,0,0,2,0,2,0,0,3,0,0,4,0,0,1,4
"spot 82",3,3,0,0,0,1,0,0,0,0,1,0,0,7,0,0,0,7,0,6
"spot 83",0,4,0,2,11,0,2,8,5,12,0,11,0,11,0,0,20,27,7,27
"spot 84",0,0,9,0,4,0,0,0,0,0,0,0,0,19,0,0,0,14,0,12
"spot 85",0,2,6,0,5,0,0,0,1,2,4,0,0,0,0,0,5,0,0,7
"spot 86",7,5,0,0,0,0,0,0,4,0,4,0,5,0,0,0,5,8,1,8
"spot 87",0,5,0,0,0,4,2,0,8,0,0,0,4,8,2,10,0,5,0,0
"spot 88",6,3,0,0,5,1,5,0,3,6,0,0,8,11,0,0,0,4,0,0
"spot 89",0,5,8,6,0,2,0,2,1,3,0,0,0,6,0,0,11,8,0,0
"spot 90",9,0,14,0,0,0,3,0,6,6,0,15,8,8,4,0,0,0,1,0
"spot 91",8,4,14,3,0,2,0,0,0,1,0,0,0,0,4,6,0,10,0,2
"spot 92",6,0,0,3,8,0,0,0,0,0,3,5,7,0,0,6,8,5,1,0
"spot 93",0,0,0,6,3,0,5,4,0,0,3,4,0,6,3,0,0,4,0,9
"spot 94",0,5,11,0,0,0,5,0,0,4,0,0,0,0,3,0,19,5,0,0
"spot 95",0,2,0,0,5,1,4,0,0,0,6,5,3,0,4,0,10,12,2,0
"spot 96",0,0,9,0,0,2,7,7,8,0,5,3,0,10,5,0,0,0,3,4
"spot 97",2,3,0,0,0,0,1,0,1,0,4,2,8,0,0,0,0,8,0,10
"spot 98",4,0,0,1,0,0,1,0,0,1,5,0,0,7,2,5,11,9,0,13
"spot 99",7,0,8,6,0,0,0,0,0,0,11,9,17,0,0,15,37,0,8,0
"spot 100",0,0,0,0,4,0,0,2,0,0,0,0,6,10,0,0,6,0,6,0
"spot 101",2,0,0,0,3,0,0,1,0,0,5,5,16,0,3,0,6,12,4,6
"spot 102",0,1,5,0,4,1,0,0,2,1,0,0,0,13,7,0,11,0,1,0
"spot 103",0,1,1,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,5
"spot 104",0,0,4,3,0,0,0,2,0,0,3,0,0,0,3,6,8,9,0,11
"spot 105",1,0,0,1,0,0,1,0,0,0,0,0,3,4,0,0,6,0,0,0
"spot 106",1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
"spot 107",0,1,7,1,4,0,0,0,0,3,4,0,8,0,2,15,0,0,0,0
"spot 108",0,2,0,0,0,0,4,1,2,1,4,0,0,0,0,5,10,4,2,0
"spot 109",5,1,0,0,0,0,0,2,1,0,3,0,0,3,5,5,13,0,2,0
"spot 110",0,1,0,4,0,0,0,0,0,0,6,7,0,0,0,0,0,0,2,5
"spot 111",0,2,19,7,4,0,0,0,0,1,0,0,5,7,0,0,25,0,1,9
"spot 112",9,0,0,0,0,0,0,0,0,0,5,2,3,7,0,9,0,0,0,0
"spot 113",5,3,6,5,0,0,0,1,5,0,3,13,0,4,5,6,0,9,0,6
"spot 114",0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,4,9,0,0,2
"spot 115",0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,4,0,9,2,0
"spot 116",7,0,13,0,0,1,1,3,2,0,1,0,5,9,4,0,0,6,2,3
"spot 117",9,1,7,0,6,1,0,0,4,3,6,15,0,10,3,0,8,0,5,0
"spot 118",0,0,0,0,0,2,2,0,0,0,8,0,5,0,3,5,6,0,2,0
"spot 119",7,0,0,0,0,0,0,5,0,10,0,3,0,7,5,0,25,0,4,9
"spot 120",0,3,17,0,14,1,0,0,0,0,0,5,4,0,5,0,0,15,2,8
"spot 121",5,0,15,5,4,0,2,0,2,0,3,0,0,0,0,0,3,9,2,2
"spot 122",10,4,18,0,0,1,8,4,0,7,8,12,9,0,1,5,0,13,0,11
"spot 123",3,3,20,0,0,1,4,0,0,0,0,5,0,0,0,0,8,14,2,0
"spot 124",11,5,0,0,0,0,0,0,5,6,0,9,4,0,0,4,0,0,0,7
"spot 125",11,2,15,3,0,1,5,6,7,2,4,6,2,0,3,13,0,0,0,10
"spot 126",11,4,0,6,0,0,3,3,0,6,0,7,4,5,1,0,11,9,0,0
"spot 127",0,0,0,7,17,0,6,9,5,0,0,0,0,0,0,21,8,14,2,7
"spot 128",0,2,0,12,0,0,6,0,3,0,0,0,0,3,0,0,11,2,0,0
"spot 129",0,2,4,1,1,0,0,1,0,2,3,8,0,5,0,0,0,0,0,11
"spot 130",1,0,2,2,0,0,1,0,0,0,0,0,0,0,2,0,5,7,2,6
"spot 131",1,2,0,0,0,1,1,0,0,0,4,0,5,0,3,0,9,0,0,0
"spot 132",0,0,0,0,0,0,1,2,1,2,0,5,4,0,3,13,0,0,0,0
"spot 133",0,0,2,4,0,0,0,0,2,0,3,7,8,0,0,9,14,5,7,13
"spot 134",8,3,13,0,0,0,0,0,2,5,8,0,13,0,9,26,0,36,5,29
"spot 135",0,0,4,0,0,1,0,0,0,2,0,0,5,1,0,0,0,1,0,0
"spot 136",0,0,0,1,1,0,0,0,0,0,6,3,0,0,0,0,0,0,1,0
"spot 137",1,0,0,2,0,0,1,0,1,0,5,5,12,0,1,0,7,0,1,2
"spot 138",3,1,3,0,2,0,0,0,0,0,0,7,6,10,4,0,9,0,0,8
"spot 139",1,4,6,0,0,0,4,0,0,0,10,9,6,9,1,0,0,17,4,10
"spot 140",0,0,0,1,0,0,0,3,0,0,2,0,2,11,2,7,0,7,0,4
"spot 141",2,0,0,2,0,2,0,0,0,1,0,0,0,3,2,3,5,3,0,6
"spot 142",0,0,8,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,14
"spot 143",0,0,0,0,0,0,0,0,0,5,4,0,2,0,0,0,0,0,2,6
"spot 144",0,0,7,0,0,1,0,0,3,3,5,10,0,9,0,0,0,0,0,19
"spot 145",4,0,0,0,1,3,1,0,3,0,0,15,0,8,0,13,0,0,3,11
"spot 146",0,0,0,1,0,0,3,1,4,7,0,0,14,0,0,0,0,0,2,5
"spot 147",0,2,13,1,0,0,3,0,0,6,1,14,0,4,0,0,0,16,0,0
"spot 148",3,6,12,2,0,0,0,0,0,2,4,20,0,12,0,0,0,0,0,0
"spot 149",0,0,0,0,0,0,5,0,2,10,0,3,4,4,0,0,5,13,0,0
"spot 150",2,0,0,0,2,0,0,0,5,0,3,0,0,4,0,3,3,0,0,0
"spot 151",6,0,11,2,1,0,0,0,1,3,2,10,4,0,1,0,13,12,2,12
"spot 152",6,2,0,6,0,1,0,0,3,0,5,0,0,0,0,4,8,0,0,0
"spot 153",9,0,10,0,5,2,0,0,0,0,0,0,0,8,3,8,5,5,4,0
"spot 154",9,0,0,0,0,0,3,7,2,7,0,5,8,3,0,4,20,0,2,8
"spot 155",0,0,17,4,9,0,2,7,0,0,0,10,0,0,0,0,0,0,0,10
"spot 156",0,9,13,7,0,0,6,6,0,11,6,0,6,0,2,8,13,9,2,7
"spot 157",7,3,0,0,9,0,0,6,0,0,1,2,7,7,0,0,0,0,2,6
"spot 158",4,5,0,0,0,0,7,2,2,3,0,9,8,0,0,5,6,0,1,7
"spot 159",0,6,0,8,0,0,9,10,0,0,6,10,0,0,4,0,11,0,0,6
"spot 160",21,3,0,0,0,0,8,0,0,0,0,3,0,12,5,0,0,16,1,0
"spot 161",0,0,11,1,0,0,2,0,0,0,0,0,17,0,0,0,0,19,0,0
"spot 162",1,0,0,0,0,0,0,0,0,0,0,2,0,6,0,3,6,0,0,2
"spot 163",1,0,1,0,0,0,0,0,0,4,7,9,0,0,0,6,9,2,5,16
"spot 164",0,0,0,4,0,1,0,1,0,1,6,0,0,16,0,8,0,0,2,0
"spot 165",2,0,3,2,0,0,0,0,3,1,0,0,3,0,1,2,22,12,0,0
"spot 166",1,0,0,0,0,0,3,0,0,1,6,0,9,0,0,4,8,0,0,0
"spot 167",6,0,0,0,0,0,0,0,0,0,0,4,9,0,5,7,0,15,0,0
"spot 168",0,0,0,3,0,0,3,2,0,0,0,0,0,9,0,11,0,0,0,8
"spot 169",3,0,8,4,2,0,0,1,1,0,3,0,0,13,2,0,0,9,0,10
"spot 170",0,0,1,0,0,0,0,2,1,0,0,3,2,0,0,0,0,5,0,7
"spot 171",0,0,10,5,0,1,0,0,4,5,0,12,13,25,0,14,18,15,1,0
"spot 172",0,0,0,2,0,0,3,0,0,0,6,13,0,8,0,0,0,0,0,7
"spot 173",7,0,7,2,0,0,0,0,0,0,8,0,8,0,0,0,0,6,0,0
"spot 174",3,0,8,3,0,1,0,0,1,0,3,4,0,0,1,11,0,8,1,0
"spot 175",2,5,5,0,5,0,0,0,0,0,0,8,5,4,0,0,6,6,0,0
"spot 176",0,3,0,6,0,0,0,7,0,0,0,11,17,0,0,12,12,11,1,14
"spot 177",0,3,0,0,0,0,0,1,0,0,2,0,0,0,1,4,0,2,0,2
"spot 178",0,0,2,0,4,0,2,0,3,1,5,5,0,2,1,0,0,0,2,0
"spot 179",0,0,0,5,2,0,4,2,0,0,1,0,0,8,0,12,14,18,7,12
"spot 180",0,0,12,9,0,3,6,6,0,0,0,10,6,12,0,14,0,0,5,0
"spot 181",5,2,13,6,0,0,0,2,3,0,0,0,0,0,6,0,0,8,0,0
"spot 182",9,0,0,7,8,1,3,8,1,0,2,7,4,0,0,0,22,10,0,0
"spot 183",6,0,0,1,2,0,4,5,4,0,0,7,2,0,0,0,0,5,0,10
"spot 184",8,0,7,0,0,0,3,6,4,8,0,0,8,0,10,3,0,11,0,12
"spot 185",0,4,0,6,0,2,9,0,2,3,3,1,0,0,0,5,13,7,0,1
"spot 186",7,0,0,1,9,0,6,0,0,0,6,5,7,0,0,5,0,0,3,10
"spot 187",2,6,10,0,0,0,0,0,1,0,0,7,4,6,0,0,0,16,0,0
"spot 188",2,4,11,0,2,1,1,4,0,4,3,0,0,5,2,0,0,0,0,5
"spot 189",0,0,0,3,8,1,0,7,0,3,10,0,0,0,0,10,0,4,2,1
"spot 190",7,9,19,4,0,3,0,0,3,0,0,2,0,10,2,4,0,13,0,0
"spot 191",0,7,0,0,9,0,0,3,0,10,0,8,0,0,7,0,0,0,0,0
"spot 192",0,0,18,0,8,0,0,9,3,0,0,2,0,0,4,0,0,0,0,0
"spot 193",0,0,9,3,0,0,0,5,2,3,0,0,8,16,3,22,17,0,0,9
"spot 194",0,1,0,0,2,0,0,0,0,0,3,0,0,5,0,7,6,6,2,5
"spot 195",0,0,0,0,1,1,0,0,1,3,0,2,2,0,0,0,4,4,3,4
"spot 196",0,0,1,0,0,1,1,0,0,2,6,0,9,0,7,0,16,0,3,11
"spot 197",4,1,6,0,2,0,0,0,2,0,3,7,0,5,7,0,2,0,0,0
"spot 198",3,0,0,0,2,0,0,0,0,4,5,0,14,14,8,0,0,8,0,0
"spot 199",0,0,3,0,0,1,0,0,1,0,2,3,5,7,0,0,0,9,0,0
"spot 200",0,0,7,0,6,0,0,3,1,2,1,0,3,4,0,0,8,0,0,0
"spot 201",2,2,5,3,0,0,2,0,0,2,0,4,4,0,4,7,8,0,1,7
"spot 202",6,3,7,0,0,0,2,8,2,0,7,10,0,7,0,0,0,0,4,19
"spot 203",0,6,0,0,0,5,8,0,6,0,14,0,17,8,10,0,29,0,3,26
"spot 204",0,0,0,0,0,0,2,5,0,0,8,0,9,0,3,0,0,0,3,0
"spot 205",0,3,5,2,0,0,0,5,1,3,2,0,0,8,4,0,3,0,0,0
"spot 206",0,0,0,2,4,0,0,0,0,3,7,0,0,0,3,0,0,0,0,5
"spot 207",4,2,0,0,0,0,0,6,0,2,0,0,0,0,0,0,6,10,3,2
"spot 208",0,0,0,4,4,0,4,0,0,1,5,0,8,11,3,0,0,0,0,0
"spot 209",0,0,7,0,0,0,0,0,9,5,5,7,0,15,2,8,13,0,0,0
"spot 210",0,0,12,0,0,3,0,0,2,4,0,14,7,9,0,0,0,13,0,20
"spot 211",8,0,11,1,0,0,1,0,1,0,8,4,0,0,0,4,0,0,1,1
"spot 212",0,0,0,5,0,0,5,0,0,7,9,0,0,8,6,7,25,0,0,17
"spot 213",0,0,12,0,4,1,0,0,2,0,4,5,4,10,0,0,0,15,1,4
"spot 214",0,0,9,5,0,0,0,2,1,4,0,6,0,0,1,6,0,4,0,7
"spot 215",0,0,0,0,0,1,4,9,0,0,6,0,7,0,4,10,0,7,0,5
"spot 216",0,0,0,0,6,0,0,0,0,0,4,8,1,5,0,0,5,4,1,10
"spot 217",3,0,9,0,7,0,3,0,0,11,1,0,0,6,0,0,12,10,4,4
"spot 218",0,0,0,0,0,1,0,0,4,0,0,0,0,13,0,0,10,0,0,0
"spot 219",6,0,0,4,0,0,3,0,6,0,2,6,0,0,0,8,0,0,2,0
"spot 220",14,2,7,0,7,0,0,0,7,0,0,0,6,0,0,0,11,10,2,0
"spot 221",0,0,13,0,0,0,3,6,6,0,5,4,2,0,0,0,14,0,6,4
"spot 222",7,5,13,0,0,0,5,6,3,0,2,7,0,0,0,3,0,3,2,9
"spot 223",23,0,9,3,0,3,5,0,0,10,3,5,0,4,0,0,0,12,0,0
"spot 224",0,0,15,0,4,0,3,0,2,7,3,3,6,8,3,0,0,0,3,0
"spot 225",0,1,0,1,2,0,1,0,3,3,0,0,0,7,0,0,0,13,0,0
"spot 226",0,0,3,0,1,1,2,0,0,0,1,1,0,1,1,0,4,4,0,0
"spot 227",4,0,12,5,0,0,0,0,5,5,14,10,10,0,10,26,27,21,0,20
"spot 228",1,0,3,2,0,0,2,0,0,0,5,8,0,0,5,5,6,0,0,12
"spot 229",5,0,0,0,2,0,0,1,0,1,0,0,0,0,0,5,0,0,4,12
"spot 230",2,0,0,0,0,0,0,0,0,3,4,4,7,0,2,0,7,13,4,16
"spot 231",0,0,2,1,0,0,2,2,0,2,4,5,4,0,3,0,8,5,0,5
"spot 232",2,2,0,2,0,0,1,0,0,1,2,0,0,0,0,0,0,10,0,3
"spot 233",2,2,4,1,4,2,0,0,0,0,10,0,0,0,0,11,16,0,4,0
"spot 234",5,4,0,0,7,0,0,0,4,0,0,0,13,10,6,0,0,0,0,0
"spot 235",0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,16,0,0
"spot 236",0,3,0,5,4,0,0,0,3,2,7,13,7,0,9,12,18,0,2,8
"spot 237",0,0,0,0,5,0,0,2,0,2,2,9,0,10,1,0,12,0,7,7
"spot 238",0,0,0,4,3,1,0,5,0,1,0,6,5,3,4,2,0,7,0,8
"spot 239",4,1,12,9,5,1,0,0,0,12,6,0,11,0,3,12,28,14,5,25
"spot 240",5,0,0,0,2,0,0,0,1,1,0,0,0,2,0,3,0,0,0,0
"spot 241",2,0,9,0,0,2,3,0,6,0,0,6,0,7,0,0,9,0,0,5
"spot 242",0,1,2,0,1,0,1,0,0,2,0,0,0,0,1,0,3,4,0,0
"spot 243",7,2,0,0,0,0,7,0,5,0,0,0,0,6,0,1,0,10,0,9
"spot 244",3,5,11,0,4,0,4,3,5,4,4,13,5,9,5,4,14,11,0,9
"spot 245",0,0,0,10,4,0,1,0,0,0,0,0,0,0,4,8,8,6,0,0
"spot 246",0,0,0,6,5,1,0,0,0,1,2,0,0,7,2,9,0,0,5,0
"spot 247",8,5,10,0,0,0,1,3,2,0,5,0,0,8,0,8,0,6,2,12
"spot 248",0,0,0,0,0,0,0,4,1,0,4,4,7,9,0,2,0,10,0,0
"spot 249",0,7,3,0,7,0,2,0,0,3,10,4,0,0,2,0,10,4,0,9
"spot 250",0,5,11,0,6,3,3,0,0,0,1,0,0,1,0,1,0,13,1,0
"spot 251",18,6,21,0,1,4,1,4,8,0,0,0,0,0,1,0,0,0,0,8
"spot 252",5,4,0,0,6,0,0,11,0,0,0,0,4,0,0,0,12,20,4,9
"spot 253",10,0,22,5,0,0,0,0,6,7,7,0,0,0,2,8,13,0,2,0
"spot 254",0,0,0,5,13,3,0,10,3,0,4,0,0,0,0,14,0,6,0,0
"spot 255",15,0,7,15,8,3,0,7,0,13,5,6,7,0,2,3,0,6,0,6
"spot 256",9,0,0,0,0,0,0,10,0,10,4,10,0,0,2,0,3,12,0,0
"spot 257",4,0,9,2,3,0,2,2,3,0,9,5,13,26,6,0,0,0,0,23
"spot 258",0,0,7,0,0,1,1,2,1,0,5,7,4,0,7,0,0,8,0,10
"spot 259",2,2,8,0,2,1,2,0,0,2,4,10,0,10,4,5,12,7,5,0
"spot 260",0,4,11,4,0,0,0,6,4,11,10,0,0,9,6,16,0,0,0,0
"spot 261",6,0,0,0,4,1,0,1,1,0,4,6,9,0,8,15,19,0,0,12
"spot 262",2,0,0,0,4,0,0,0,0,0,0,8,0,11,1,0,0,0,0,0
"spot 263",0,0,0,2,0,0,1,1,0,5,3,9,6,8,0,0,12,3,0,13
"spot 264",0,0,9,1,0,0,1,3,0,2,0,0,0,0,4,0,11,5,0,6
"spot 265",2,0,0,0,1,1,0,0,1,0,2,4,7,0,2,0,0,10,1,0
"spot 266",0,1,2,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0
"spot 267",0,0,0,2,0,0,0,0,0,0,0,3,0,5,0,3,0,0,0,7
"spot 268",3,1,0,0,3,0,2,0,0,4,6,3,5,0,0,4,6,0,0,0
"spot 269",0,1,9,0,0,1,2,0,1,0,3,8,5,0,0,0,23,0,4,12
"spot 270",0,3,18,0,10,0,7,0,0,0,6,13,3,0,5,4,20,0,0,0
"spot 271",0,2,9,0,0,0,3,7,6,6,0,7,12,0,0,0,12,16,0,5
"spot 272",0,1,0,0,0,2,0,0,1,5,0,7,2,0,0,0,0,7,0,2
"spot 273",0,0,0,0,0,0,4,0,0,0,3,0,0,11,0,0,0,12,1,10
"spot 274",5,6,0,4,8,3,5,2,0,0,0,0,0,8,6,0,0,4,0,0
"spot 275",0,0,0,1,0,0,3,0,4,8,0,0,0,3,2,8,9,6,0,0
"spot 276",0,0,0,0,0,1,0,0,1,6,8,0,0,9,11,3,17,22,0,7
"spot 277",10,0,0,0,2,1,3,0,6,4,5,6,0,3,5,10,0,0,0,13
"spot 278",0,2,0,3,0,0,0,5,5,7,0,0,9,2,0,6,14,0,0,0
"spot 279",5,0,20,0,0,3,3,4,3,0,5,9,0,8,2,8,8,14,1,10
"spot 280",0,4,0,0,0,1,3,0,5,1,4,0,5,0,0,10,0,0,0,0
"spot 281",7,0,0,5,0,0,0,2,0,0,0,5,0,0,0,0,0,0,6,0
"spot 282",7,6,8,0,6,3,8,8,5,3,3,0,3,0,0,0,0,11,0,0
"spot 283",0,4,18,0,0,0,3,6,5,9,0,0,3,0,0,4,18,0,0,0
"spot 284",11,0,17,0,0,2,0,8,9,6,0,11,7,1,0,5,0,3,2,0
"spot 285",0,0,13,3,0,2,0,3,0,0,0,8,0,5,0,0,0,0,7,0
"spot 286",0,6,0,0,7,1,0,9,0,0,2,7,0,0,0,0,10,9,4,10
"spot 287",7,4,7,0,0,3,2,0,0,0,0,3,0,10,0,0,3,7,0,12
"spot 288",9,0,0,3,7,0,0,9,9,0,8,6,0,7,5,0,0,8,0,4
"spot 289",7,1,10,0,0,1,1,8,0,8,0,0,0,12,0,18,26,17,6,32
"spot 290",0,0,5,0,2,1,1,0,0,4,0,0,0,11,0,0,0,8,0,0
"spot 291",2,0,0,0,0,0,0,1,5,0,0,0,0,9,0,13,0,17,0,0
"spot 292",2,3,0,0,0,0,2,0,0,3,4,4,0,6,0,2,0,5,1,7
"spot 293",0,1,0,4,0,0,2,0,0,3,1,0,0,0,0,0,10,2,0,11
"spot 294",0,1,0,0,0,0,0,0,0,0,0,3,0,7,5,0,0,22,1,0
"spot 295",3,0,0,4,0,0,2,0,2,4,9,0,0,0,0,8,0,16,0,0
"spot 296",0,0,0,4,0,3,0,0,4,0,3,8,0,0,3,0,0,12,2,0
"spot 297",0,0,9,6,0,2,0,0,9,5,6,0,6,0,0,0,41,9,2,14
"spot 298",2,2,8,0,0,1,3,0,0,0,5,6,0,0,0,9,12,18,0,0
"spot 299",0,0,0,0,0,2,5,0,4,11,0,19,0,14,2,17,0,0,0,0
