"","gene 1","gene 2","gene 3","gene 4","gene 5","gene 6","gene 7","gene 8","gene 9","gene 10","gene 11","gene 12","gene 13","gene 14","gene 15","gene 16","gene 17","gene 18","gene 19","gene 20","gene 21","gene 22","gene 23","gene 24","gene 25","gene 26","gene 27","gene 28","gene 29","gene 30","gene 31","gene 32","gene 33","gene 34","gene 35","gene 36","gene 37","gene 38","gene 39","gene 40","gene 41","gene 42","gene 43","gene 44","gene 45","gene 46","gene 47","gene 48","gene 49","gene 50","gene 51","gene 52","gene 53","gene 54","gene 55","gene 56","gene 57","gene 58","gene 59","gene 60","gene 61","gene 62","gene 63","gene 64","gene 65","gene 66","gene 67","gene 68","gene 69","gene 70","gene 71","gene 72","gene 73","gene 74","gene 75","gene 76","gene 77","gene 78","gene 79","gene 80","gene 81","gene 82","gene 83","gene 84","gene 85","gene 86","gene 87","gene 88","gene 89","gene 90","gene 91","gene 92","gene 93","gene 94","gene 95","gene 96","gene 97","gene 98","gene 99","gene 100"
"spot 16",4,1,3,4,2,1,6,0,5,0,25,8,5,3,0,6,5,0,0,17,18,0,14,3,8,7,0,8,7,11,0,9,12,10,3,11,0,4,24,18,11,11,0,13,8,10,0,0,6,14,18,0,12,6,21,0,7,9,15,7,43,12,23,0,11,10,3,15,9,0,3,3,13,6,5,0,9,0,0,5,0,16,23,0,16,0,0,0,12,0,0,0,38,0,20,0,3,5,0,0
"spot 17",1,4,2,10,3,1,3,0,0,2,22,6,3,0,10,8,14,12,15,3,24,10,7,3,0,3,12,0,0,6,0,11,0,0,7,8,0,17,0,10,0,13,0,23,4,0,0,18,0,0,14,0,0,2,0,34,4,6,0,0,0,10,6,5,0,0,4,0,0,17,8,0,0,8,10,9,0,0,0,0,7,12,0,0,13,13,18,4,12,0,5,11,15,8,18,15,0,5,0,6
"spot 18",1,4,0,5,0,0,3,4,0,0,0,12,0,4,18,0,0,0,0,3,14,11,13,0,6,0,0,6,0,11,12,3,13,13,4,6,5,11,10,18,0,11,8,0,5,7,12,12,8,10,14,4,0,0,20,49,11,5,0,0,38,12,18,6,0,12,0,13,8,18,13,5,0,0,16,18,6,7,11,0,8,9,16,8,0,0,19,0,16,8,10,15,9,9,14,14,7,5,6,0
"spot 19",0,7,1,4,2,2,6,4,7,2,44,18,0,0,10,12,7,0,6,0,18,0,13,0,0,14,11,2,1,16,16,0,12,0,2,5,13,5,0,14,0,3,11,0,5,0,0,0,11,0,0,0,6,0,0,0,14,4,12,11,32,6,6,6,6,0,4,31,13,17,0,9,0,5,7,14,4,0,0,6,0,7,10,6,11,16,0,7,0,6,6,0,13,13,0,8,0,9,2,4
"spot 20",1,5,0,7,2,0,3,8,10,0,18,0,4,5,15,0,11,0,23,0,0,9,0,2,23,4,1,0,5,20,18,4,0,0,2,9,8,10,7,11,0,0,0,10,0,14,0,0,9,18,0,2,7,1,20,42,12,3,11,5,0,7,7,15,0,0,5,0,7,22,9,0,13,0,7,0,3,14,7,3,5,0,20,0,3,7,0,5,10,16,0,16,10,14,18,9,1,0,0,3
"spot 21",0,0,2,5,0,1,0,3,4,0,12,6,3,0,10,6,0,0,0,11,7,24,8,3,9,5,3,0,3,6,0,4,0,8,0,5,4,0,11,9,0,0,0,3,3,7,6,0,0,15,11,0,7,0,11,22,6,2,0,3,22,2,10,1,4,8,0,0,6,21,8,0,0,0,4,5,6,0,0,0,2,5,9,1,10,8,6,2,6,0,3,0,14,0,8,13,0,2,2,5
"spot 22",1,3,1,0,0,1,5,5,0,2,10,11,2,0,0,0,9,4,10,0,0,8,6,0,0,6,1,0,0,10,12,6,0,5,5,0,5,0,6,0,2,0,1,9,7,5,4,8,2,8,5,5,0,3,0,19,6,4,4,0,9,0,3,6,3,11,0,9,8,20,0,2,6,2,4,7,5,13,0,9,3,0,15,0,6,9,4,8,0,2,0,0,15,13,0,3,3,2,0,5
"spot 23",3,1,0,3,3,0,0,6,3,0,11,2,3,0,0,5,0,13,0,0,6,0,0,0,5,7,0,2,4,0,0,4,5,0,3,2,2,4,14,13,0,7,0,0,4,1,8,0,7,0,0,0,4,7,11,8,3,4,0,0,21,0,0,8,6,0,0,13,6,16,5,3,8,0,2,6,0,5,0,2,3,0,0,0,13,0,0,0,10,7,3,0,8,9,11,0,0,3,0,5
"spot 24",0,0,1,8,2,3,3,7,1,0,0,5,0,0,15,4,4,0,12,11,22,11,0,3,10,0,1,0,5,4,14,0,7,2,5,6,0,0,0,11,8,5,8,8,0,2,7,7,11,8,0,3,9,4,5,0,11,0,11,4,0,0,0,6,0,5,0,16,5,18,6,0,14,12,0,7,1,0,0,3,11,2,10,3,0,0,0,0,6,9,5,17,0,20,24,0,3,2,0,2
"spot 25",4,0,3,2,0,1,3,7,3,3,8,0,7,0,6,4,2,6,0,0,3,7,0,0,0,2,4,0,2,2,0,6,0,0,0,7,4,0,10,11,6,0,6,9,6,1,6,4,7,0,6,3,5,7,13,7,4,0,6,0,0,5,6,0,2,0,2,9,4,0,10,6,4,10,0,10,0,0,0,0,3,3,0,1,0,0,4,1,0,2,2,0,4,10,7,5,1,0,5,3
"spot 26",5,6,2,10,0,1,7,0,2,0,18,11,5,2,0,5,0,5,7,4,10,0,2,3,0,8,0,2,4,11,6,1,2,0,1,9,2,8,6,10,5,3,7,8,0,4,12,11,3,11,7,9,10,4,9,16,3,0,0,10,25,11,7,1,4,5,0,16,0,24,19,0,0,7,0,3,3,5,0,5,6,10,17,1,7,12,0,0,7,0,7,12,5,10,0,9,0,5,0,5
"spot 27",1,0,3,15,5,3,0,8,9,3,10,8,7,3,14,8,5,15,12,6,0,14,1,2,0,8,0,1,10,0,15,7,2,1,4,0,4,9,7,7,7,7,9,7,0,6,5,4,5,6,0,4,8,7,0,13,5,6,0,2,29,3,10,3,3,0,0,0,4,17,0,5,15,0,1,5,9,12,9,0,4,4,0,2,6,0,18,4,0,13,0,0,19,5,0,8,0,3,3,5
"spot 28",3,3,5,10,3,0,5,10,3,1,0,10,4,0,6,2,3,0,8,5,2,0,0,0,5,5,5,0,0,0,0,3,0,0,0,5,0,6,0,3,11,3,6,6,3,2,6,0,8,9,10,4,10,3,13,22,0,0,5,0,22,6,5,6,3,0,2,0,0,16,0,2,6,0,2,0,0,2,0,6,0,0,14,2,5,0,13,0,0,0,4,18,6,6,11,11,3,4,0,0
"spot 29",5,4,4,0,6,6,12,7,0,0,18,5,5,3,14,2,0,13,6,0,0,8,0,4,0,4,7,2,5,0,8,7,7,15,8,1,6,2,6,15,0,6,8,11,0,8,0,17,0,14,0,4,5,7,0,19,5,8,0,0,19,11,6,5,2,10,0,22,0,0,0,3,10,0,1,9,5,4,4,7,0,5,0,2,0,4,8,3,6,12,0,10,7,13,11,7,5,2,4,0
"spot 30",0,0,3,0,6,0,8,0,10,2,6,8,2,2,8,4,5,0,4,0,11,6,0,0,5,1,4,2,5,5,14,3,2,0,1,0,1,5,0,3,0,3,2,0,0,3,5,4,1,5,5,4,0,4,7,0,4,6,7,0,10,10,6,0,7,3,0,0,0,0,7,0,10,0,0,0,3,5,6,0,3,3,5,0,2,7,2,4,2,0,2,0,14,4,0,0,0,2,7,4
"spot 31",2,6,3,22,14,0,9,10,9,11,0,0,3,3,15,0,0,0,0,0,0,19,11,1,17,0,0,4,8,0,19,0,0,0,6,0,2,7,0,8,4,0,0,15,6,8,0,0,8,25,12,5,11,4,0,0,0,5,0,9,0,4,14,6,0,10,3,15,9,31,14,7,16,11,4,0,6,11,0,6,0,3,13,0,0,16,12,7,0,0,7,5,0,9,6,16,9,7,9,5
"spot 32",3,0,4,22,5,5,14,0,9,6,12,0,8,0,11,0,8,0,10,0,7,9,8,0,5,3,7,7,4,0,12,4,10,0,3,0,0,6,12,0,3,4,0,7,0,0,0,8,9,10,9,0,12,0,4,21,4,2,0,7,0,6,14,3,3,2,2,14,5,17,4,5,0,7,6,0,0,7,0,0,7,12,10,0,0,13,0,9,6,8,0,10,12,4,16,7,2,6,0,3
"spot 33",0,0,0,1,0,0,1,2,0,0,4,4,0,4,0,3,0,0,0,0,11,9,7,0,0,0,0,3,3,2,11,2,0,0,2,3,4,5,9,0,9,7,0,9,0,7,0,14,7,13,4,0,5,0,16,0,5,1,0,3,16,5,0,0,0,0,0,12,9,18,7,5,0,1,5,8,0,3,0,0,0,5,0,0,3,4,11,2,9,0,0,0,0,8,9,7,2,1,2,0
"spot 34",2,1,0,1,1,0,0,4,0,0,0,14,0,8,0,10,8,15,10,9,30,20,9,0,0,13,0,2,0,0,19,10,7,9,0,6,5,10,11,0,6,0,8,24,5,8,16,16,10,12,0,0,25,5,0,57,10,0,19,18,0,0,20,11,10,10,7,23,7,0,0,10,16,0,0,7,9,12,11,0,0,0,27,4,18,5,0,14,0,14,7,23,15,17,0,13,0,3,0,13
"spot 35",1,0,0,0,0,0,1,0,0,0,0,2,0,0,11,7,0,0,7,0,10,0,8,0,0,7,6,2,3,4,11,8,0,7,2,4,0,5,7,5,0,0,1,0,0,0,4,14,0,8,4,8,0,2,2,11,6,4,8,3,11,0,5,3,6,5,2,0,3,10,0,4,0,2,0,5,0,0,6,0,4,5,17,1,6,6,10,1,0,3,3,0,11,0,14,0,1,0,2,0
"spot 36",0,0,0,1,1,0,0,2,0,0,0,0,7,0,0,8,5,11,14,7,13,9,3,0,10,12,7,2,8,7,0,9,16,2,4,5,7,8,15,11,5,4,0,0,4,0,8,12,5,11,6,4,0,8,0,28,7,3,8,0,24,8,0,0,0,10,0,0,0,5,0,0,0,5,3,7,6,0,0,0,12,7,17,2,10,11,12,6,16,12,7,0,13,0,17,14,3,7,7,0
"spot 37",3,0,1,0,0,1,3,0,3,1,0,22,5,2,23,12,0,5,32,0,0,0,12,7,11,6,10,0,10,15,29,13,11,0,0,18,14,3,22,18,6,0,9,13,0,4,10,17,11,22,14,0,6,0,0,0,7,13,0,5,38,0,20,6,0,0,4,22,4,47,12,0,11,4,4,11,0,13,3,0,0,21,0,7,0,9,16,0,15,10,0,11,10,16,34,14,6,14,5,6
"spot 38",0,1,0,1,0,0,0,0,0,0,0,0,1,3,4,0,0,4,7,0,0,6,11,0,0,6,0,0,2,0,8,3,6,2,1,1,2,0,0,7,4,3,0,0,5,5,2,8,0,4,2,1,9,0,11,17,2,1,0,4,0,4,6,6,4,2,0,8,0,16,3,4,0,2,7,9,4,1,2,5,0,0,12,3,12,3,6,0,0,7,2,1,0,3,0,5,0,6,2,4
"spot 39",0,0,0,3,0,1,1,1,0,0,34,0,6,3,16,3,0,19,0,0,0,22,14,0,0,6,7,0,10,15,19,0,14,10,0,5,9,13,0,7,6,4,10,6,13,3,9,14,9,0,7,0,13,6,7,0,0,0,13,6,26,8,17,6,9,14,4,0,7,25,15,0,10,6,10,15,6,4,9,3,0,0,11,2,0,10,0,3,8,15,0,15,14,21,16,8,4,7,9,4
"spot 40",3,0,5,0,0,3,3,7,0,5,0,0,20,10,0,21,26,49,64,40,46,0,30,11,0,0,0,9,25,44,72,30,30,26,6,0,25,0,42,0,30,17,29,21,0,31,45,46,23,0,29,37,0,0,46,64,20,13,25,0,67,18,68,28,25,0,0,71,0,94,48,17,71,6,17,0,0,32,38,18,0,24,37,13,32,41,40,39,36,13,0,0,0,31,0,29,0,0,10,0
"spot 41",0,1,0,0,0,0,1,2,1,2,0,0,6,5,13,12,6,0,14,7,7,7,0,0,14,7,0,9,10,20,25,7,0,15,5,9,8,7,0,5,7,7,10,6,6,0,0,13,4,7,0,5,12,0,31,0,3,7,8,8,29,8,9,7,3,4,4,0,8,27,6,3,11,0,1,19,0,0,9,8,2,11,14,0,12,13,19,0,0,23,2,10,16,15,23,13,0,2,5,0
"spot 42",1,0,2,0,3,1,0,0,0,2,0,12,5,5,17,11,0,17,0,0,11,11,8,9,10,8,0,0,10,0,8,6,0,6,0,0,6,5,12,7,0,4,9,9,3,9,18,0,7,0,12,6,11,9,12,30,0,0,0,9,31,0,14,11,4,10,4,20,0,36,15,4,12,7,7,11,10,12,9,5,9,2,13,3,0,0,13,6,8,6,12,17,25,17,28,0,6,5,9,4
"spot 43",1,2,4,0,1,1,0,1,3,2,21,11,6,3,17,16,0,23,15,0,0,9,0,3,24,0,0,4,0,14,12,4,16,9,7,0,10,0,8,16,13,6,13,22,8,0,19,14,0,9,7,0,0,0,26,47,7,5,14,15,0,6,15,12,7,10,1,17,22,0,18,11,0,9,8,13,3,0,11,4,9,0,0,2,0,10,0,5,8,22,6,11,32,0,28,20,3,10,2,6
"spot 44",3,5,0,6,2,0,0,6,1,5,36,22,0,4,0,26,0,30,23,0,0,30,13,8,17,17,9,11,4,12,19,0,18,12,6,17,4,26,18,0,13,18,10,0,6,3,34,16,20,27,26,0,22,0,0,24,18,0,27,0,0,0,20,12,7,12,3,35,21,18,0,0,20,0,2,11,7,0,0,9,4,10,0,3,16,22,0,0,10,12,10,0,0,31,0,0,3,0,3,12
"spot 45",0,0,0,0,0,1,3,2,0,0,0,5,4,0,11,3,7,6,4,0,3,9,0,0,6,3,5,4,0,0,9,7,9,0,0,2,1,2,3,13,3,0,6,8,0,1,4,0,0,0,3,2,8,4,13,16,3,0,15,6,0,4,5,0,0,9,3,13,4,0,7,3,0,1,3,3,6,8,5,2,8,3,11,1,9,12,8,0,9,6,7,7,10,0,11,0,0,1,4,0
"spot 46",0,0,0,3,2,0,1,2,4,1,0,8,4,0,13,5,9,3,0,8,11,21,0,0,15,0,9,3,7,4,0,7,15,3,1,3,6,0,0,8,3,0,13,0,5,2,6,0,0,13,0,7,0,3,21,23,5,5,6,0,0,8,15,7,5,5,0,15,1,9,11,2,0,1,8,0,5,8,0,9,9,8,0,0,6,10,0,8,0,8,0,15,12,14,14,14,4,10,3,7
"spot 47",0,1,2,11,0,0,0,3,3,1,0,0,0,0,9,11,7,14,0,0,10,0,10,3,0,5,8,1,1,16,10,0,4,8,0,5,4,13,7,5,10,6,14,10,3,4,0,0,8,10,11,0,0,0,13,28,6,2,9,4,17,7,8,5,2,4,1,0,4,15,9,2,0,0,0,5,3,2,0,0,0,5,16,0,0,9,0,0,0,3,6,7,0,6,16,0,0,0,0,8
"spot 48",0,0,0,1,3,0,0,0,0,0,16,6,7,6,18,7,13,14,0,0,10,13,10,0,0,4,0,0,0,0,0,0,6,18,0,0,5,0,10,5,7,5,0,7,0,4,0,0,10,9,8,4,0,3,0,47,2,4,8,2,0,9,14,8,5,2,1,11,0,14,7,11,9,0,0,9,9,4,6,5,3,0,18,3,6,10,5,7,0,8,2,17,0,0,21,0,2,7,3,0
"spot 49",2,2,0,4,2,3,0,4,3,7,14,6,0,0,14,7,4,10,8,15,0,13,10,0,0,5,4,2,0,7,11,0,9,8,0,0,0,5,0,6,10,4,10,10,0,8,13,12,3,0,0,2,0,2,16,0,0,2,11,10,16,7,12,7,7,9,4,16,12,23,18,3,4,2,4,19,6,6,7,0,9,5,8,3,9,10,0,4,10,5,0,10,14,9,10,12,2,10,3,6
"spot 50",0,8,0,5,1,4,1,4,5,1,0,6,20,0,9,9,6,14,13,6,19,0,0,4,13,12,0,0,0,9,10,8,0,8,11,10,8,10,21,18,9,9,20,8,8,3,0,21,11,8,0,0,11,6,22,34,12,4,11,18,47,0,21,11,8,3,0,18,7,39,10,9,13,2,9,15,0,18,10,12,5,7,17,3,0,16,24,4,0,13,10,37,21,26,28,14,0,6,2,5
"spot 51",0,0,1,2,3,0,0,3,1,0,6,2,0,0,0,4,7,0,6,9,10,13,5,4,11,6,0,0,6,0,14,6,6,4,4,4,4,6,6,0,2,4,13,7,3,5,1,14,6,9,0,0,8,0,0,19,7,8,0,0,12,11,8,5,5,0,3,0,7,0,12,2,0,5,0,6,1,6,4,5,9,0,8,0,13,6,0,5,0,2,7,0,17,9,10,8,2,2,0,0
"spot 52",7,5,5,18,9,1,7,4,0,15,35,8,17,7,0,0,12,0,28,22,13,0,13,8,13,16,13,11,17,18,33,14,19,0,7,14,10,13,0,9,0,0,25,0,0,0,0,15,8,0,10,0,23,1,39,26,13,0,19,7,52,20,14,0,0,0,8,0,20,41,0,10,0,9,0,14,11,10,18,12,18,0,27,0,13,13,26,20,13,15,13,38,0,17,59,26,0,12,11,11
"spot 53",1,1,1,8,2,2,0,0,2,0,20,3,7,2,9,2,3,0,2,0,10,0,0,0,9,0,0,1,0,3,5,0,0,4,0,0,0,0,5,3,2,3,7,0,6,4,2,12,0,0,0,0,2,0,15,0,0,3,3,0,0,2,7,0,3,13,2,2,1,0,5,4,10,3,4,10,3,3,3,2,5,3,7,1,8,0,3,1,0,2,1,10,12,0,5,0,4,5,2,3
"spot 54",6,0,0,15,5,0,6,4,3,8,10,10,3,0,11,0,0,18,6,10,11,27,16,0,0,14,10,0,8,5,22,5,9,7,0,8,0,2,17,6,7,3,0,15,8,4,7,10,14,0,10,5,8,0,15,34,0,4,0,6,0,0,18,16,9,8,0,14,0,0,7,11,14,1,7,13,5,0,13,4,4,3,12,1,9,9,16,10,0,2,5,25,18,11,15,15,0,3,7,3
"spot 55",2,0,3,8,0,0,4,8,6,1,15,0,0,0,17,9,10,16,10,14,0,22,8,2,12,10,0,7,6,0,26,4,9,0,8,0,4,13,23,21,0,3,0,11,7,8,0,8,0,11,11,12,12,12,0,0,4,0,7,13,0,7,13,12,4,8,5,0,3,11,0,0,6,6,3,10,6,0,15,6,10,7,0,7,9,12,7,1,10,9,6,18,6,8,19,0,3,6,2,1
"spot 56",0,2,0,11,0,6,1,3,4,0,16,0,0,0,0,7,0,13,0,6,14,0,4,0,14,14,0,0,3,0,17,6,0,12,3,5,5,8,10,4,0,7,7,0,5,5,0,14,5,7,0,0,9,3,0,22,0,1,6,6,0,6,9,14,3,5,4,0,0,24,6,4,0,11,1,1,0,9,6,0,3,4,0,2,0,12,16,5,0,11,6,0,0,7,11,0,4,4,3,5
"spot 57",0,10,3,13,0,1,5,10,5,2,0,11,9,0,13,11,14,0,0,11,17,11,9,1,13,12,8,4,12,14,14,13,14,6,0,0,0,8,17,16,11,0,0,10,4,0,7,0,0,0,16,4,14,0,13,22,8,5,15,9,0,13,11,0,0,13,0,13,14,33,14,6,16,8,0,0,1,6,0,2,9,5,0,0,0,16,17,13,4,18,5,16,10,8,0,11,7,0,7,0
"spot 58",1,4,0,9,2,0,0,5,8,3,14,2,8,2,0,0,1,0,0,0,8,14,11,4,3,2,5,3,5,6,12,5,6,0,2,0,3,8,8,10,8,0,0,8,4,0,6,8,0,0,6,0,5,1,20,0,0,3,0,3,10,12,13,9,6,9,2,0,7,11,3,3,5,5,2,10,6,8,3,0,1,8,8,0,15,8,5,0,9,8,0,10,0,2,15,9,3,0,3,3
"spot 59",3,0,4,9,8,0,6,2,0,10,0,10,6,2,20,0,0,22,0,0,12,9,2,5,7,9,0,4,0,0,19,5,17,4,0,7,7,7,0,17,8,0,12,13,0,10,0,15,9,0,12,5,14,0,18,18,0,4,0,10,41,10,13,7,0,14,1,0,9,23,14,0,9,7,4,8,13,0,15,0,1,0,21,0,0,0,16,4,11,11,0,17,16,19,15,6,0,3,6,0
"spot 60",2,6,0,0,0,2,0,12,7,1,17,0,2,0,0,4,7,9,14,10,0,12,6,5,3,7,6,3,0,0,0,3,0,11,0,0,0,7,9,12,0,7,0,13,3,5,5,9,7,8,7,0,5,4,11,8,0,1,9,5,23,9,9,9,3,0,1,16,12,20,9,1,13,5,5,6,0,6,1,0,0,0,18,0,0,8,29,4,0,0,0,14,24,0,18,0,2,7,0,0
"spot 61",6,10,9,11,10,7,7,3,3,7,17,10,2,0,20,5,8,11,23,20,10,0,11,5,10,14,0,1,0,19,0,8,0,0,4,3,6,0,15,0,10,0,13,10,6,8,0,13,7,0,9,7,0,0,20,30,5,8,5,3,0,12,22,17,3,8,1,13,0,0,14,2,0,4,0,9,7,11,0,8,11,9,20,3,11,5,16,7,7,3,0,20,37,8,0,11,0,7,3,0
"spot 62",0,9,0,0,0,11,5,0,0,11,36,17,3,0,12,8,13,14,0,8,12,8,0,6,18,15,10,1,6,0,18,11,7,9,0,6,15,0,23,0,0,0,0,11,0,6,0,0,17,11,0,13,0,8,34,0,0,0,7,7,0,7,17,8,4,7,6,0,0,0,10,0,11,9,13,7,7,17,10,11,7,0,29,6,0,8,31,0,0,4,13,0,0,12,24,24,0,10,0,8
"spot 63",10,0,2,38,10,0,0,0,12,13,23,6,4,1,0,0,0,10,12,15,0,0,7,0,12,0,7,5,7,11,16,0,10,12,4,8,5,8,8,0,4,10,14,0,7,0,13,15,8,14,7,5,4,0,21,0,0,0,7,7,23,0,13,11,3,0,6,12,4,25,14,0,5,0,1,6,8,0,10,7,0,2,18,3,18,15,6,7,11,7,6,22,0,12,15,0,7,12,6,3
