"method","set","value","inf","inte_situ","pattern"
"nnSVG-PASTE","F1",0.193423597678917,"inf3","scenario 2","focal"
"nnSVG-AVE","F1",0,"inf3","scenario 2","focal"
"nnSVG-Union","F1",0,"inf3","scenario 2","focal"
"nnSVG-Inter","F1",0,"inf3","scenario 2","focal"
"nnSVG-Cauchy","F1",0,"inf3","scenario 2","focal"
"nnSVG-HMP","F1",0,"inf3","scenario 2","focal"
"nnSVG-PASTE","precision",0.107066381156317,"inf3","scenario 2","focal"
"nnSVG-AVE","precision",0,"inf3","scenario 2","focal"
"nnSVG-Union","precision",0,"inf3","scenario 2","focal"
"nnSVG-Inter","precision",0,"inf3","scenario 2","focal"
"nnSVG-Cauchy","precision",0,"inf3","scenario 2","focal"
"nnSVG-HMP","precision",0,"inf3","scenario 2","focal"
"nnSVG-PASTE","recall",1,"inf3","scenario 2","focal"
"nnSVG-AVE","recall",0,"inf3","scenario 2","focal"
"nnSVG-Union","recall",0,"inf3","scenario 2","focal"
